240033001429, CENTERVILLE ELEMENTARY, 3601 CARRIAGE HILL DR, FREDERICK, MD 21704, (240) 566-0100, ξξ-ξξFREDERICK COUNTY COUNTY, Public, KG,5,,
240033000652, URBANA ELEMENTARY, 3554 URBANA PIKE, FREDERICK, MD 21704, (240) 236-2200, ξξ-ξξFREDERICK COUNTY COUNTY, Public, PK,5,,
240033000628, CARROLL MANOR ELEMENTARY, 5624 ADAMSTOWN RD, ADAMSTOWN, MD 21710, (240) 236-3800, ξξ-ξξFREDERICK COUNTY COUNTY, Public, PK,5,,
240066001254, BOONSBORO ELEMENTARY, 5 CAMPUS AVE, BOONSBORO, MD 21713, (301) 766-8013, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, KG,5,,
240066001256, BOONSBORO HIGH, 10 CAMPUS AVE, BOONSBORO, MD 21713, (301) 766-8022, ξξ-ξξWASHINGTON COUNTY COUNTY, Public,9,12,,
240066001255, BOONSBORO MIDDLE, 1 J-H WADE DR, BOONSBORO, MD 21713, (301) 766-8038, ξξ-ξξWASHINGTON COUNTY COUNTY, Public,6,8,,
240066001268, GREENBRIER ELEMENTARY, 21222 SAN MAR RD, BOONSBORO, MD 21713, (301) 766-8170, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, KG,5,,
A9902323, BOONSBORO CHRISTIAN ACADEMY, 7605 OLD NATL PIKE, BOONSBORO, MD 21713, (301) 432-0707, ξξ-ξξWASHINGTON COUNTY, Private, PK,12,,
A9502139, SAN MAR CHILDREN'S HOME INC, 8504 MAPLEVILLE RD, BOONSBORO, MD 21713, (501) 733-9067, ξξ-ξξWASHINGTON COUNTY, Private,9,12,,
240033000626, BRUNSWICK ELEMENTARY, 400 CENTRAL AVE, BRUNSWICK, MD 21716, (240) 236-2900, ξξ-ξξFREDERICK COUNTY COUNTY, Public, PK,5,,
240033000627, BRUNSWICK HIGH, 101 CUMMINGS DR, BRUNSWICK, MD 21716, (240) 236-8600, ξξ-ξξFREDERICK COUNTY COUNTY, Public,9,12,,
240033001409, BRUNSWICK MIDDLE, 301 CUMMINGS DR, BRUNSWICK, MD 21716, (240) 236-5400, ξξ-ξξFREDERICK COUNTY COUNTY, Public,6,8,,
A0701192, GRACE BAPTIST ACADEMY, 131 9TH AVE, BRUNSWICK, MD 21716, (301) 834-5000, ξξ-ξξFREDERICK COUNTY, Private, KG,12,,
A0104050, ST THOMAS MORE ACADEMY, PO BOX 879, BUCKEYSTOWN, MD 21717, (301) 874-9014, ξξ-ξξFREDERICK COUNTY, Private, PK,8,,
240066001258, CASCADE ELEMENTARY, 14519 PENNERSVILLE RD, CASCADE, MD 21719, (301) 766-8066, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, KG,5,,
240066001259, CLEAR SPRING ELEMENTARY, 12627 BROADFORDING RD, CLEAR SPRING, MD 21722, (301) 766-8074, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, PK,5,,
240066001260, CLEAR SPRING HIGH, 12630 BROADFORDING RD, CLEAR SPRING, MD 21722, (301) 766-8082, ξξ-ξξWASHINGTON COUNTY COUNTY, Public,9,12,,
240066001261, CLEAR SPRING MIDDLE, 12628 BROADFORDING RD, CLEAR SPRING, MD 21722, (301) 766-8094, ξξ-ξξWASHINGTON COUNTY COUNTY, Public,6,8,,
A9701851, OAK HILL HOUSE SCHOOL, 12806 INDEPENDENCE RD, CLEAR SPRING, MD 21722, (301) 582-4980, ξξ-ξξWASHINGTON COUNTY, Private,8,12,,
A9701923, WOODMONT ACADEMY, 2000 WOODMONT LN, COOKSVILLE, MD 21723, (443) 574-8100, ξξ-ξξHOWARD COUNTY, Private, PK,8,,
240033000631, EMMITSBURG ELEMENTARY, 300 S SETON AVE, EMMITSBURG, MD 21727, (240) 236-1750, ξξ-ξξFREDERICK COUNTY COUNTY, Public, PK,5,,
578488, MOTHER SETON ELEMENTARY SCHOOL, 100 CREAMERY RD, EMMITSBURG, MD 21727, (301) 447-3161, ξξ-ξξFREDERICK COUNTY, Private, PK,8,,
240042000731, GLENELG HIGH, 14025 BURNT WOODS RD, GLENELG, MD 21737, (410) 313-5528, ξξ-ξξHOWARD COUNTY COUNTY, Public,9,12,,
240042000721, BUSHY PARK ELEMENTARY, 14601 CARRS MILL RD, GLENWOOD, MD 21738, (410) 313-5500, ξξ-ξξHOWARD COUNTY COUNTY, Public, PK,5,,
240042000732, GLENWOOD MIDDLE, 2680 RT 97, GLENWOOD, MD 21738, (410) 313-5520, ξξ-ξξHOWARD COUNTY COUNTY, Public,6,8,,
240066001674, BARBARA INGRAM SCHOOL FOR THE ARTS, 7-11 S. POTOMAC STREET, HAGERSTOWN, MD 21740, (301) 766-8840, ξξ-ξξWASHINGTON COUNTY COUNTY, Public,9,12,,
240066001253, BESTER ELEMENTARY, 30 E MEMORIAL BLVD, HAGERSTOWN, MD 21740, (301) 766-8001, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, PK,5,,
240066001262, CONOCOCHEAGUE ELEMENTARY, 12408 LEARNING LN, HAGERSTOWN, MD 21740, (301) 766-8102, ξξ-ξξWASHINGTON COUNTY COUNTY, Public, KG,5,,
240066001263, E. RUSSELL HICKS MIDDLE, 1321 S POTOMAC ST, HAGERSTOWN, MD 21740, (301) 766-8110, ξξ-ξξWASHINGTON COUNTY COUNTY, Public,6,8,,
240066001264, EMMA K. DOUB ELEMENTARY, 1221 S POTOMAC ST, HAGERSTOWN, MD 21740, (301) 766-8130, ξξ-ξξWASHINGTON COUNTY COUNTY, Public,1,5,,
240066001086, EVENING HIGH SCHOOL, 50 W. OAK RIDGE DRIVE, HAGERSTOWN, MD 21740, (301) 766-8473, ξξ-ξξWASHINGTON COUNTY COUNTY, Public,11,12,,
