360008005528, HARLEM VILLAGE ACADEMY CHARTER SCHOOL EHVACS, 15 PENN PLAZA #15, NEW YORK, NY 10001, (646) 812-9399, ξξ-ξξNEW YORK COUNTY COUNTY, Public,5,12,,
360007704410, MS 260 CLINTON SCHOOL WRITERS & ARTISTS425 , W 33RD ST, NEW YORK, NY 10001, (212) 255-8860, ξξ-ξξNEW YORK COUNTY COUNTY, Public,6,8,,
360007702152, PS 33 CHELSEA PREP, 281 9TH AVE, NEW YORK, NY 10001, (212) 244-6426, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,5,,
360007700668, SATELLITE ACADEMY HIGH SCHOOL, 120 W 30TH ST, NEW YORK, NY 10001, (646) 674-2800, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
A0502492, LEARNING SPRING E S, 254 W 29TH ST, NEW YORK, NY 10001, (212) 239-4926, ξξ-ξξNEW YORK COUNTY, Private, Ungraded,Ungraded,,
921939, ST MICHAEL ACADEMY, 425 W 33RD ST, NEW YORK, NY 10001, (212) 563-2547, ξξ-ξξNEW YORK COUNTY, Private,9,12,,
360007605621, BARD HIGH SCHOOL EARLY COLLEGE, 525 E HOUSTON ST, NEW YORK, NY 10002, (212) 995-8479, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007603352, CASCADES HIGH SCHOOL, 198 FORSYTH ST-3RD FL, NEW YORK, NY 10002, (646) 654-1261, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007605863, COLLABORATIVE ACAD OF SCIENCE, TECHNOLOGY AND LANG, 220 HENRY ST, MANHATTAN, NY 10002, (212) 227-0762, ξξ-ξξNEW YORK COUNTY COUNTY, Public,6,8,
360007706169, EMMA LAZARUS HIGH SCHOOL, 100 HESTER ST, NEW YORK, NY 10002, (212) 925-5017, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,11,,
360007705623, ESSEX STREET ACADEMY, 350 GRAND ST, NEW YORK, NY 10002, (212) 475-4773, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360013605765, GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK, 442 E HOUSTON ST-RM 312, NEW YORK, NY 10002, (212) 388-0241, ξξ-ξξNEW YORK COUNTY COUNTY, Public, KG,6,,
360007605614, HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES, 220 HENRY ST, NEW YORK, NY 10002, (212) 406-9411, ξξ-ξξNEW YORK COUNTY COUNTY, Public,6,12,,
360007705532, HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES, 350 GRAND ST, NEW YORK, NY 10002, (212) 475-4097, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007600624, LOWER EAST SIDE PREPARATORY HIGH SCHOOL, 145 STANTON ST-4TH FL, NEW YORK, NY 10002, (212) 505-6366, ξξ-ξξNEW YORK COUNTY COUNTY, Public,10,12,,
360007705771, LOWER MANHATTAN ARTS ACADEMY, 350 GRAND ST, NEW YORK, NY 10002, (212) 505-0143, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360013705766, MANHATTAN CHARTER SCHOOL, 100 ATTORNEY ST, NEW YORK, NY 10002, (212) 533-2743, ξξ-ξξNEW YORK COUNTY COUNTY, Public, KG,5,,
360007601275, MARTA VALLE SECONDARY SCHOOL, 145 STANTON ST, NEW YORK, NY 10002, (212) 473-8152, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007704402, MS 131, 100 HESTER ST, NEW YORK, NY 10002, (212) 219-1204, ξξ-ξξNEW YORK COUNTY COUNTY, Public,6,8,,
360007705499, NEW DESIGN HIGH SCHOOL, 350 GRAND ST, NEW YORK, NY 10002, (212) 475-4148, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007604873, NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH SCHOOL, 111 COLUMBIA ST, NEW YORK, NY 10002, (212) 677-5190, ξξ-ξξNEW YORK COUNTY COUNTY, Public, KG,12,
360007705625, PACE HIGH SCHOOL, 100 HESTER ST, NEW YORK, NY 10002, (212) 334-4663, ξξ-ξξNEW YORK COUNTY COUNTY, Public,9,12,,
360007602411, PS 110 FLORENCE NIGHTINGALE, 285 DELANCEY ST, NEW YORK, NY 10002, (212) 674-2690, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,5,,
360007702458, PS 124 YUNG WING, 40 DIVISION ST, NEW YORK, NY 10002, (212) 966-7237, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,5,,
360007602492, PS 134 HENRIETTA SZOLD, 293 E BROADWAY, NEW YORK, NY 10002, (212) 673-4470, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,5,,
360007602502, PS 137 JOHN L BERNSTEIN, 293 E BROADWAY, NEW YORK, NY 10002, (212) 602-2140, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,5,,
360007602511, PS 140 NATHAN STRAUS, 123 RIDGE ST, NEW YORK, NY 10002, (212) 677-4680, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,8,,
360007602515, PS 142 AMALIA CASTRO, 100 ATTORNEY ST, NEW YORK, NY 10002, (212) 598-3800, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,5,,
360007603508, PS 184 SHUANG WEN, 327 CHERRY ST-2ND FL, NEW YORK, NY 10002, (212) 602-9700, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,8,,
360007604869, PS 188 THE ISLAND SCHOOL, 442 E HOUSTON ST, NEW YORK, NY 10002, (212) 677-5710, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,8,,
360007702047, PS 2 MEYER LONDON, 122 HENRY ST, NEW YORK, NY 10002, (212) 964-0350, ξξ-ξξNEW YORK COUNTY COUNTY, Public, PK,5,,
