420606005217, CLARION AREA EL SCH, 800 BOUNDARY ST, CLARION, PA 16214, (814) 226-8118, ξξ-ξξCLARION COUNTY COUNTY, Public, PK,6,,,
420606001475, CLARION AREA JSHS, 219 LIBERTY ST, CLARION, PA 16214, (814) 226-8112, ξξ-ξξCLARION COUNTY COUNTY, Public,7,12,,,
A9105564, CLARION CENTER SCHOOL, 2 HOSPITAL DR, CLARION, PA 16214, (814) 226-9545, ξξ-ξξCLARION COUNTY, Private,1,12,,,
1190746, IMMACULATE CONCEPTION SCHOOL, 729 MAIN ST, CLARION, PA 16214, (814) 226-8433, ξξ-ξξCLARION COUNTY, Private, PK,8,,,
420960000083, SUGARCREEK EL SCH, 1290 STATE ROUTE 268, COWANSVILLE, PA 16218, (724) 545-2409, ξξ-ξξARMSTRONG COUNTY COUNTY, Public, KG,6,,,
420259000569, DAYTON EL SCH, 175 E. GRANT AVENUE, DAYTON, PA 16222, (814) 257-8816, ξξ-ξξARMSTRONG COUNTY COUNTY, Public, KG,6,,,
420259006575, FORD CITY JSHS, 4TH AVE AND 11TH ST, FORD CITY, PA 16226, (724) 763-5289, ξξ-ξξARMSTRONG COUNTY COUNTY, Public,7,12,,,
420259005002, LENAPE EL SCH, 2300 CENTER AVE, FORD CITY, PA 16226, (724) 763-5299, ξξ-ξξARMSTRONG COUNTY COUNTY, Public, KG,6,,,
420260004807, LENAPE TECH, 2215 CHAPLIN AVENUE, FORD CITY, PA 16226, (724) 763-7116, ξξ-ξξARMSTRONG COUNTY COUNTY, Public,11,12,,,
1191477, DIVINE REDEEMER SCHOOL, 726 4TH AVE, FORD CITY, PA 16226, (724) 763-3761, ξξ-ξξARMSTRONG COUNTY, Private, PK,6,,,
421044000593, FREEPORT AREA JHS, 325 4TH ST, FREEPORT, PA 16229, (724) 295-9020, ξξ-ξξARMSTRONG COUNTY COUNTY, Public,7,8,,,
421044000590, FREEPORT KDG CTR, 408 HIGH ST, FREEPORT, PA 16229, (724) 295-9250, ξξ-ξξARMSTRONG COUNTY COUNTY, Public, KG,KG,,,
421044000592, SOUTH BUFFALO EL SCH, 562 FREEPORT RD, FREEPORT, PA 16229, (724) 295-9510, ξξ-ξξARMSTRONG COUNTY COUNTY, Public,1,6,,,
422013001493, REDBANK-HAWTHORN EL SCH, 1306 TRUITTSBURG ROAD, HAWTHORN, PA 16230, (814) 365-5141, ξξ-ξξCLARION COUNTY COUNTY, Public, KG,6,,,
421272006694, KEYSTONE EL SCH, 451 HUSTON AVENUE, KNOX, PA 16232, (814) 797-1251, ξξ-ξξCLARION COUNTY COUNTY, Public, KG,6,,,
421272001486, KEYSTONE JSHS, 700 BEATTY AVENUE, KNOX, PA 16232, (814) 797-1261, ξξ-ξξCLARION COUNTY COUNTY, Public,7,12,,,
A0508152, KEYSTONE SMILES ALTERNATIVE LEARNING CENTER, PO BOX 352, KNOX, PA 16232, (814) 797-2633, ξξ-ξξCLARION COUNTY, Private,7,12,,,
1190316, ST JOSEPH SCHOOL, PO BOX 9, LUCINDA, PA 16235, (814) 226-8018, ξξ-ξξCLARION COUNTY, Private, PK,6,,,
420828006160, EAST FOREST EL SCH, 120 W BIRCH ST, MARIENVILLE, PA 16239, (814) 927-6688, ξξ-ξξFOREST COUNTY COUNTY, Public, PK,6,,,
420828006159, EAST FOREST JSHS, 120 W BIRCH ST, MARIENVILLE, PA 16239, (814) 927-6688, ξξ-ξξFOREST COUNTY COUNTY, Public,7,12,,,
1907265, CORNELL ABRAXAS I ARLENE LISSNER HIGH SCHOOL, PO BOX 59, MARIENVILLE, PA 16239, (814) 927-6615, ξξ-ξξFOREST COUNTY, Private,9,12,,,
422013001491, MAHONING EL SCH, 330 PHEASANT FARM ROAD, NEW BETHLEHEM, PA 16242, (814) 275-1550, ξξ-ξξARMSTRONG COUNTY COUNTY, Public, KG,6,,,
422013001494, NEW BETHLEHEM-S BETHLEHEM EL, 600 VINE STREET, NEW BETHLEHEM, PA 16242, (814) 275-2680, ξξ-ξξCLARION COUNTY COUNTY, Public, KG,6,,,
422013001495, REDBANK VALLEY HS, 910 BROAD ST, NEW BETHLEHEM, PA 16242, (814) 275-2424, ξξ-ξξCLARION COUNTY COUNTY, Public,7,12,,,
A9503613, NEW BETHLEHEM MENNONITE SCHOOL, 805 FROSTY RD, NEW BETHLEHEM, PA 16242, (814) 275-3079, ξξ-ξξCLARION COUNTY, Private,1,9,,,
AA890838, NEW BETHLEHEM WESLEYAN METHODIST SCHOOL, 140 CALHOUN SCHOOL RD, NEW BETHLEHEM, PA 16242, (724) 545-1334, ξξ-ξξCLARION COUNTY, Private, KG,11,,,
422412005033, RIMERSBURG EL SCH, 88 SCHOOL STREET, RIMERSBURG, PA 16248, (814) 473-3989, ξξ-ξξCLARION COUNTY COUNTY, Public,4,6,,,
