190309000006, ADAIR-CASEY ELEMENTARY SCHOOL, 3384 INDIGO AVE., ADAIR, IA 50002, (641) 746-2242, Î¾Î¾-Î¾Î¾GUTHRIE COUNTY COUNTY, Public, PK,6,,,,,,,,,,,,,,,,,,,
190309000007, ADAIR-CASEY JR-SR HIGH SCHOOL, 3384 INDIGO AVE, ADAIR, IA 50002, (641) 746-2241, Î¾Î¾-Î¾Î¾GUTHRIE COUNTY COUNTY, Public,7,12,,,,,,,,,,,,,,,,,,,
190315000008, ADEL ELEMENTARY SCHOOL, 1608 GROVE ST., ADEL, IA 50003, (515) 993-4285, Î¾Î¾-Î¾Î¾DALLAS COUNTY COUNTY, Public, PK,2,,,,,,,,,,,,,,,,,,,
190315001986, ADM MIDDLE SCHOOL, 801 NILE KINNICK DR. S., ADEL, IA 50003, (515) 993-3490, Î¾Î¾-Î¾Î¾DALLAS COUNTY COUNTY, Public,6,8,,,,,,,,,,,,,,,,,,,
190315000009, ADM SENIOR HIGH SCHOOL, 801 NILE KINNICK DR S, ADEL, IA 50003, (515) 993-4584, Î¾Î¾-Î¾Î¾DALLAS COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
190003201317, ALDEN ELEMENTARY SCHOOL, P.O. BOX 48, ALDEN, IA 50006, (515) 859-3394, Î¾Î¾-Î¾Î¾HARDIN COUNTY COUNTY, Public, PK,6,,,,,,,,,,,,,,,,,,,
192091001923, NORTH POLK CENTRAL ELEMENTARY SCHOOL, 311 NE 141ST AVE, ALLEMAN, IA 50007, (515) 251-3400, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public, PK,6,,,,,,,,,,,,,,,,,,,
192091001248, NORTH POLK HIGH SCHOOL, 315 NE 141ST AVE, ALLEMAN, IA 50007, (515) 685-3528, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
192091002095, NORTH POLK MIDDLE SCHOOL, 315 NE 141ST AVE., ALLEMAN, IA 50007, (515) 685-3528, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public,7,8,,,,,,,,,,,,,,,,,,,
192682001566, ALTOONA ELEMENTARY SCHOOL, 301 6TH ST SW, ALTOONA, IA 50009, (515) 967-3771, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
192682001567, CENTENNIAL ELEMENTARY SCHOOL, 910 7TH AVE SE, ALTOONA, IA 50009, (515) 967-2109, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
192682001168, CLAY ELEMENTARY, 3200 FIRST AVENUE S., ALTOONA, IA 50009, (515) 967-4198, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
192682002068, WILLOWBROOK ELEMENTARY SCHOOL, 300 17TH STREET SW, ALTOONA, IA 50009, (515) 967-7512, Î¾Î¾-Î¾Î¾POLK COUNTY COUNTY, Public, PK,5,,,,,,,,,,,,,,,,,,,
190354000049, ABBIE SAWYER ELEMENTARY SCHOOL, 4316 ONTARIO ST, AMES, IA 50010, (515) 239-3790, Î¾Î¾-Î¾Î¾STORY COUNTY COUNTY, Public, KG,5,,,,,,,,,,,,,,,,,,,
190354000050, AMES HIGH SCHOOL, 1921 AMES HIGH DRIVE, AMES, IA 50010, (515) 817-0600, Î¾Î¾-Î¾Î¾STORY COUNTY COUNTY, Public,9,12,,,,,,,,,,,,,,,,,,,
190354000052, EDWARDS ELEMENTARY SCHOOL, 3622 WOODLAND ST, AMES, IA 50010, (515) 239-3760, Î¾Î¾-Î¾Î¾STORY COUNTY COUNTY, Public, KG,5,,,,,,,,,,,,,,,,,,,
190354000053, FELLOWS ELEMENTARY SCHOOL, 1400 MC KINLEY, AMES, IA 50010, (515) 239-3765, Î¾Î¾-Î¾Î¾STORY COUNTY COUNTY, Public, KG,5,,,,,,,,,,,,,,,,,,,
190354000054, KATE MITCHELL ELEMENTARY SCHOOL, 3521 JEWEL DR, AMES, IA 50010, (515) 239-3775, Î¾Î¾-Î¾Î¾STORY COUNTY COUNTY, Public, KG,5,,,,,,,,,,,,,,,,,,,
190354000056, MEEKER ELEMENTARY SCHOOL, 300 20TH STREET, AMES, IA 50010, (515) 239-3770, Î¾Î¾-Î¾Î¾STORY COUNTY COUNTY, Public, KG,5,,,,,,,,,,,,,,,,,,,
190354001906, NORTHWOOD PRE-SCHOOL, 3012 DUFF AVENUE, AMES, IA 50010, (515) 268-2470, Î¾Î¾-Î¾Î¾STORY COUNTY COUNTY, Public, PK,KG,,,,,,,,,,,,,,,,,,,
A9300389, AMES CHRISTIAN SCHOOL, 925 S 16TH ST, AMES, IA 50010, (515) 233-0772, Î¾Î¾-Î¾Î¾STORY COUNTY, Private, PK,5,,,,,,,,,,,,,,,,,,,
457554, ST CECILIA ELEMENTARY SCHOOL, 2900 HOOVER AVE, AMES, IA 50010, (515) 232-5290, Î¾Î¾-Î¾Î¾STORY COUNTY, Private, KG,5,,,,,,,,,,,,,,,,,,,
190354000060, AMES MIDDLE SCHOOL, 3915 MORTENSEN ROAD, AMES, IA 50014, (515) 268-2400, Î¾Î¾-Î¾Î¾STORY COUNTY COUNTY, Public,6,8,,,,,,,,,,,,,,,,,,,
