["Median Household Size", "Median Household Income", "Number of Occupied Housing Units", "Number of Housing Units", "Non-English Speaking Population", "Foreign-Born", "Number of People Below the Poverty Line", "Total Population"]
2.78, 43669, 7605, 8543, 1431, 38, 3688, 22151, 72761
2.52, 38365, 2224, 2797, 0, 0, 803, 5790, 26704
2.26, 41981, 4013, 4728, 19, 0, 1451, 9603, 25064
2.57, 48075, 2966, 3167, 160, 35, 843, 7634, 72730
3.61, 57267, 12459, 13612, 15936, 337, 8254, 45517, 20783
2.49, 37303, 9457, 13364, 1826, 20, 4017, 23739, 34974
3.1, 33750, 52, 68, 0, 0, 35, 161, 99580
2.38, 72853, 15856, 16915, 1454, 0, 2425, 38087, 01752
2.74, 83564, 19762, 20641, 3858, 216, 3731, 55763, 07728
2.29, 17973, 17026, 19861, 666, 0, 22765, 47567, 32304
2.8, 66713, 9266, 10156, 464, 0, 2813, 26004, 98271
2.44, 33292, 19489, 21496, 2102, 32, 11317, 53125, 42101
2.5, 63341, 11355, 12156, 59, 0, 2620, 28414, 49024
2.34, 95299, 24490, 26141, 1251, 15, 3492, 57812, 98052
2.45, 51571, 8667, 9331, 380, 30, 1621, 21791, 68803
3.33, 54803, 2530, 2819, 1423, 0, 1138, 8443, 11096
1.54, 40513, 5823, 7408, 522, 5, 2135, 9690, 32801
2.3, 16261, 2865, 4139, 50, 0, 3102, 6811, 46402
2.68, 95086, 17161, 17743, 277, 0, 1453, 46365, 19335
2.3, 73162, 10192, 11279, 396, 0, 1045, 23560, 53562
2.41, 35612, 9671, 11009, 14, 0, 4302, 23634, 43920
2.48, 39545, 170, 209, 3, 0, 34, 421, 67109
2.48, 39545, 170, 209, 3, 0, 34, 421, 67109
2.54, 48013, 8717, 10080, 156, 0, 3495, 22670, 60466
2.74, 34259, 5365, 6109, 1580, 0, 4035, 15258, 53404
2.22, 38144, 7380, 8406, 64, 13, 2790, 16596, 44906
2.07, 70097, 8899, 9717, 116, 0, 1129, 18627, 55305
2.07, 70097, 8899, 9717, 116, 0, 1129, 18627, 55305
2.07, 70097, 8899, 9717, 116, 0, 1129, 18627, 55305
2.07, 70097, 8899, 9717, 116, 0, 1129, 18627, 55305
