["Median Household Size", "Median Household Income", "Number of Occupied Housing Units", "Number of Housing Units", "Non-English Speaking Population", "Foreign-Born", "Number of People Below the Poverty Line", "Total Population"]
2.87, 43472, 298, 321, 0, 0, 101, 854, 50001
2.3, 40662, 657, 697, 0, 0, 214, 1551, 50002
2.52, 61349, 2532, 2622, 30, 1, 386, 6530, 50003
3.03, 52622, 254, 290, 3, 0, 57, 769, 50005
2.55, 45714, 660, 795, 31, 0, 150, 1686, 50006
2.77, 85625, 237, 239, 2, 0, 22, 656, 50007
2.25, 38650, 373, 437, 0, 0, 87, 841, 50008
2.56, 63410, 6139, 6314, 87, 0, 786, 15880, 50009
2.2, 47843, 12478, 13134, 75, 0, 5131, 27799, 50010
na, na, 0, 0, 0, 0, 0, 1941, 50011
na, na, 0, 0, 7, 0, 0, 3469, 50012
2.32, 40240, 11484, 12029, 101, 6, 8475, 28657, 50014
2.49, 46691, 661, 746, 0, 0, 88, 1682, 50020
2.42, 73247, 8531, 8913, 84, 0, 826, 20822, 50021
2.18, 37595, 3623, 3937, 44, 0, 1393, 8228, 50022
2.68, 72571, 9678, 10167, 77, 0, 1085, 26288, 50023
2.14, 41719, 1452, 1593, 0, 0, 358, 3205, 50025
1.95, 28864, 282, 315, 12, 0, 141, 549, 50026
2.78, 37188, 147, 160, 0, 0, 88, 408, 50027
2.68, 66250, 630, 702, 0, 0, 79, 1744, 50028
2.12, 55893, 303, 329, 0, 0, 26, 662, 50029
1.83, 31098, 290, 290, 36, 0, 164, 530, 50032
1.38, 82500, 8, 11, 0, 0, 2, 11, 50033
2.65, 60000, 164, 171, 0, 0, 9, 434, 50034
2.82, 75281, 1841, 1841, 0, 0, 119, 5200, 50035
2.4, 48884, 6651, 7415, 23, 0, 1692, 16187, 50036
1.98, 41184, 102, 142, 0, 0, 59, 202, 50038
2.49, 76813, 179, 197, 0, 0, 56, 446, 50039
4.08, 80469, 13, 37, 0, 0, 0, 53, 50041
2.57, 34914, 148, 204, 0, 0, 56, 381, 50042
2.79, 46890, 382, 390, 3, 0, 74, 1066, 50044
2.81, 68333, 568, 607, 0, 0, 77, 1594, 50046
2.62, 61756, 1937, 2006, 0, 0, 269, 5155, 50047
2.2, 43583, 413, 446, 0, 0, 63, 908, 50048
2.4, 40462, 2660, 3012, 44, 0, 1231, 6586, 50049
2.07, 45333, 288, 348, 2, 0, 60, 595, 50050
2.27, 65375, 145, 187, 0, 0, 19, 329, 50051
2.09, 35729, 99, 114, 0, 0, 25, 207, 50052
2.79, 51063, 1360, 1427, 62, 0, 445, 3859, 50054
2.49, 54118, 348, 390, 0, 0, 92, 867, 50055
2.64, 57500, 548, 576, 3, 0, 97, 1445, 50056
3.37, 50329, 93, 93, 0, 0, 0, 313, 50057
2.26, 47500, 828, 934, 6, 0, 189, 1912, 50058
2.32, 38512, 1034, 1226, 0, 0, 365, 2501, 50060
2.66, 110893, 645, 651, 8, 0, 21, 1741, 50061
