NCES ID,Total Revenue,Revenue Per Student,Federal Total - Rev,Federal PS Rev,Local Total Rev,Local PS Rev,State Total Rev,State PS Rev,Total Exp,Exp PS,Total Current Exp,Current Exp PS,Exp - Instruction,Exp - Instructional PS,"Total Exp Student, Staf","PS Exp, Student, Staff",Total Exp Admin,PS Exp Admin,Total Exp Ops,PS Exp Ops,Total Capital Outlay,PS Cap Outlay,Total Construction Outlay,PS Construction Outlay,Total Non El-Sec Ed,PS Non El-Sec Ed,Total Interest on Debt,PS Interest on Debt
1907650,"$1,139,000 ","$14,418 ","$177,000 ","$2,241 ","$581,000 ","$7,354 ","$381,000 ","$4,823 ","$1,127,000 ","$14,266 ","$932,000 ","$11,797 ","$632,000 ","$8,000 ","$24,000 ",$304 ,"$129,000 ","$1,633 ","$147,000 ","$1,861 ","$51,000 ",$646 ,"$10,000 ",$127 ,$0 ,$0 ,$0 ,$0 
1923760,"$1,285,000 ","$14,602 ","$183,000 ","$2,080 ","$634,000 ","$7,205 ","$468,000 ","$5,318 ","$933,000 ","$10,602 ","$637,000 ","$7,239 ","$404,000 ","$4,591 ","$42,000 ",$477 ,"$32,000 ",$364 ,"$159,000 ","$1,807 ","$30,000 ",$341 ,"$9,000 ",$102 ,"$19,000 ",$216 ,$0 ,$0 
1917880,"$1,314,000 ","$17,065 ","$124,000 ","$1,610 ","$1,055,000 ","$13,701 ","$135,000 ","$1,753 ","$1,217,000 ","$15,805 ","$1,047,000 ","$13,597 ","$589,000 ","$7,649 ","$2,000 ",$26 ,"$187,000 ","$2,429 ","$269,000 ","$3,494 ","$21,000 ",$273 ,"$20,000 ",$260 ,$0 ,$0 ,$0 ,$0 
1909450,"$1,738,000 ","$12,239 ","$177,000 ","$1,246 ","$1,020,000 ","$7,183 ","$541,000 ","$3,810 ","$1,373,000 ","$9,669 ","$1,054,000 ","$7,423 ","$644,000 ","$4,535 ","$31,000 ",$218 ,"$108,000 ",$761 ,"$271,000 ","$1,908 ","$41,000 ",$289 ,"$12,000 ",$85 ,$0 ,$0 ,$0 ,$0 
1903030,1903030,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903660,1903660,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913080,1913080,,,,,,,,,,,,,,,,,,,,,,,,,,,
1918300,1918300,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920670,1920670,,,,,,,,,,,,,,,,,,,,,,,,,,,
1920730,1920730,,,,,,,,,,,,,,,,,,,,,,,,,,,
1924750,1924750,,,,,,,,,,,,,,,,,,,,,,,,,,,
1925140,1925140,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904740,"$1,946,000 ","$9,586 ","$163,000 ",$803 ,"$1,240,000 ","$6,108 ","$543,000 ","$2,675 ","$2,041,000 ","$10,054 ","$1,487,000 ","$7,325 ","$994,000 ","$4,897 ","$33,000 ",$163 ,"$194,000 ",$956 ,"$266,000 ","$1,310 ","$117,000 ",$576 ,"$35,000 ",$172 ,$0 ,$0 ,"$9,000 ",$44 
1909060,"$2,121,000 ","$21,210 ","$218,000 ","$2,180 ","$1,221,000 ","$12,210 ","$682,000 ","$6,820 ","$2,048,000 ","$20,480 ","$1,750,000 ","$17,500 ","$1,235,000 ","$12,350 ","$15,000 ",$150 ,"$216,000 ","$2,160 ","$284,000 ","$2,840 ","$78,000 ",$780 ,"$40,000 ",$400 ,$0 ,$0 ,$0 ,$0 
1912600,"$2,190,000 ","$14,314 ","$230,000 ","$1,503 ","$1,455,000 ","$9,510 ","$505,000 ","$3,301 ","$2,128,000 ","$13,908 ","$1,717,000 ","$11,222 ","$1,024,000 ","$6,693 ","$96,000 ",$627 ,"$313,000 ","$2,046 ","$284,000 ","$1,856 ","$147,000 ",$961 ,"$23,000 ",$150 ,"$94,000 ",$614 ,$0 ,$0 
1931890,"$2,299,000 ","$17,550 ","$153,000 ","$1,168 ","$1,553,000 ","$11,855 ","$593,000 ","$4,527 ","$1,940,000 ","$14,809 ","$1,446,000 ","$11,038 ","$902,000 ","$6,885 ","$33,000 ",$252 ,"$244,000 ","$1,863 ","$267,000 ","$2,038 ","$150,000 ","$1,145 ","$20,000 ",$153 ,$0 ,$0 ,$0 ,$0 
1912060,"$2,322,000 ","$12,157 ","$235,000 ","$1,230 ","$1,149,000 ","$6,016 ","$938,000 ","$4,911 ","$2,044,000 ","$10,702 ","$1,708,000 ","$8,942 ","$1,057,000 ","$5,534 ","$41,000 ",$215 ,"$177,000 ",$927 ,"$433,000 ","$2,267 ","$49,000 ",$257 ,"$2,000 ",$10 ,$0 ,$0 ,"$23,000 ",$120 
1927900,"$2,333,000 ","$14,054 ","$163,000 ",$982 ,"$1,438,000 ","$8,663 ","$732,000 ","$4,410 ","$2,034,000 ","$12,253 ","$1,554,000 ","$9,361 ","$966,000 ","$5,819 ","$13,000 ",$78 ,"$219,000 ","$1,319 ","$356,000 ","$2,145 ","$145,000 ",$873 ,"$34,000 ",$205 ,"$9,000 ",$54 ,"$119,000 ",$717 
