State Name,FIPS Code,LEA ID,LEA Name,NCES ID,School Name,Total Students,Total Rate,Native American Count,Native American Rate,Asian/Pacific Islander Count,Asian/Pacific Islander Rate,Black Count,Black Rate,Hispanic Count,Hispanic Rate,Two or More Count,Two or More Rate,White Count,White Rate,Disabilities Count,Disabilities Rate,Economically Disadvantaged Count,Economically Disadvantaged Rate,Limited English Count,Limited English Rate
IOWA,19,1904080,A-H-S-T Comm School District,190408000102,A-H-S-T High School,36,80-89,,.,,.,,.,2,PS,1,PS,33,80-89,8,GE50,18,60-79,,.
IOWA,19,1903060,AGWSR Comm School District,190306000004,AGWSR High School,50,GE90,,.,,.,,.,2,PS,,.,48,GE90,9,GE50,12,GE50,,.
IOWA,19,1903090,Adair-Casey Comm School District,190309000007,Adair-Casey Jr-Sr High School,27,GE80,,.,1,PS,,.,,.,2,PS,24,GE80,3,PS,12,GE50,,.
IOWA,19,1903150,Adel DeSoto Minburn Comm School District,190315000009,ADM Senior High School,101,GE95,1,PS,3,PS,1,PS,1,PS,,.,95,GE95,13,GE50,15,GE50,,.
IOWA,19,1903220,Akron Westfield Comm School District,190322001939,Akron Westfield Senior High School,37,GE90,,.,,.,,.,,.,2,PS,35,GE90,3,PS,8,GE50,1,PS
IOWA,19,1903270,Albia Comm School District,190327000017,Albia High School,98,GE95,1,PS,,.,,.,1,PS,1,PS,95,GE95,6,GE50,42,GE90,,.
IOWA,19,1903300,Alburnett Comm School District,190330000025,Alburnett Junior-Senior High School,46,GE90,,.,,.,,.,1,PS,,.,45,GE90,3,PS,8,GE50,,.
IOWA,19,1903360,Algona Comm School District,190336000030,Algona High School,114,90-94,,.,,.,1,PS,3,PS,3,PS,107,90-94,16,GE80,41,80-89,,.
IOWA,19,1903390,Allamakee Comm School District,190339000038,Waukon High School,130,GE95,,.,,.,,.,,.,,.,130,GE95,18,GE80,60,GE90,,.
IOWA,19,1903480,Alta Comm School District,190348000046,Alta Senior High School,46,80-89,,.,,.,2,PS,10,GE50,,.,34,GE90,7,GE50,19,60-79,3,PS
IOWA,19,1903540,Ames Comm School District,190354000050,Ames High School,330,94,,.,26,GE80,15,GE50,13,GE50,14,GE50,262,90-94,33,60-69,61,70-74,8,GE50
IOWA,19,1903570,Anamosa Comm School District,190357000061,Anamosa High School,107,90-94,,.,,.,,.,3,PS,2,PS,102,90-94,20,60-79,32,GE90,,.
IOWA,19,1903630,Andrew Comm School District,190363000068,Andrew High School,25,GE80,,.,,.,,.,,.,,.,25,GE80,3,PS,5,PS,,.
IOWA,19,1903660,Anita Comm School District,190366000070,CAM High School,45,GE90,,.,1,PS,,.,,.,2,PS,42,GE90,9,GE50,17,GE80,,.
IOWA,19,1903690,Ankeny Comm School District,190369000071,Ankeny High School,503,93,1,PS,7,GE50,7,GE50,15,GE50,5,PS,468,93,51,60-69,55,70-79,2,PS
IOWA,19,1903750,Aplington-Parkersburg Comm School District,190375001337,Aplington Parkersburg High School,51,GE90,,.,,.,,.,1,PS,,.,50,GE90,6,GE50,15,GE50,,.
IOWA,19,1903750,Aplington-Parkersburg Comm School District,190375000082,Aplington / Parkersburg Middle School,3,PS,,.,,.,,.,,.,,.,3,PS,,.,1,PS,,.
IOWA,19,1903780,Ar-We-Va Comm School District,190378000085,Westside Junior-Senior High School,22,GE80,,.,,.,,.,1,PS,,.,21,GE80,1,PS,8,GE50,1,PS
IOWA,19,1903850,Armstrong-Ringsted Comm School District,190385001899,Armstrong-Ringsted MS/High School,16,GE80,,.,,.,,.,,.,,.,16,GE80,5,PS,5,PS,,.
IOWA,19,1903930,Atlantic Comm School District,190393000090,Atlantic High School,119,85-89,,.,,.,1,PS,,.,2,PS,116,85-89,22,40-59,48,70-79,,.
IOWA,19,1903960,Audubon Comm School District,190396000096,Audubon Middle-High School,61,90-94,,.,,.,,.,,.,,.,61,90-94,5,PS,17,GE80,,.
IOWA,19,1904020,Aurelia Comm School District,190402000100,Aurelia High School,12,GE50,,.,,.,,.,1,PS,,.,11,GE50,1,PS,2,PS,,.
IOWA,19,1904440,BCLUW Comm School District,190444000118,BCLUW High School,41,GE90,,.,1,PS,,.,,.,1,PS,39,GE90,4,PS,8,GE50,,.
IOWA,19,1904200,Ballard Comm School District,190420000105,Ballard Community Senior High School,115,GE95,,.,1,PS,4,PS,3,PS,,.,107,GE95,16,GE80,21,GE80,,.
IOWA,19,1904320,Battle Creek-Ida Grove Comm School District,190432000864,Battle Creek-Ida Grove Senior High School,75,GE95,2,PS,1,PS,,.,3,PS,,.,69,GE95,12,GE50,28,GE80,1,PS
IOWA,19,1904380,Baxter Comm School District,190438000114,Baxter High School,35,GE90,,.,,.,,.,1,PS,1,PS,33,GE90,5,PS,6,GE50,,.
IOWA,19,1904560,Bedford Comm School District,190456000120,Bedford High School,41,GE90,,.,,.,,.,1,PS,,.,40,GE90,5,PS,18,GE80,,.
IOWA,19,1904620,Belle Plaine Comm School District,190462000124,Belle Plaine Jr/Sr High School,48,GE90,1,PS,,.,,.,2,PS,,.,45,GE90,10,GE50,12,GE50,,.
IOWA,19,1904650,Bellevue Comm School District,190465000129,Bellevue High School,48,GE90,,.,,.,,.,,.,,.,48,GE90,5,PS,17,GE80,,.
IOWA,19,1904680,Belmond-Klemme Comm School District,190468000130,Belmond-Klemme Community Jr-Sr High School,50,GE90,,.,1,PS,1,PS,7,GE50,1,PS,40,GE90,4,PS,18,GE80,4,PS
IOWA,19,1904680,Belmond-Klemme Comm School District,190468001436,Belmond-Klemme Alternative School,7,GE50,,.,,.,,.,3,PS,,.,4,PS,3,PS,4,PS,,.
IOWA,19,1904830,Benton Comm School District,190483000137,Benton Community Senior High School,135,90-94,1,PS,,.,1,PS,1,PS,1,PS,131,90-94,14,GE50,27,GE80,,.
IOWA,19,1904860,Bettendorf Comm School District,190486000142,Bettendorf High School,349,94,4,PS,5,PS,9,GE50,22,GE80,1,PS,308,94,32,70-79,80,85-89,4,PS
IOWA,19,1905070,Bondurant-Farrar Comm School District,190507000154,Bondurant-Farrar High School,96,GE95,1,PS,,.,1,PS,,.,2,PS,92,GE95,16,GE80,23,GE80,,.
IOWA,19,1905130,Boone Comm School District,190513000156,Boone High School,147,GE95,,.,,.,1,PS,3,PS,1,PS,142,90-94,23,GE80,44,GE90,1,PS
IOWA,19,1905130,Boone Comm School District,190513002056,Futures,23,21-39,,.,,.,,.,1,PS,,.,22,21-39,6,LT50,10,LT50,,.
IOWA,19,1905190,Boyden-Hull Comm School District,190519000167,Boyden-Hull High School,52,GE90,,.,3,PS,,.,3,PS,,.,46,GE90,7,GE50,18,GE80,3,PS
IOWA,19,1909570,Boyer Valley Comm School District,190957000628,Boyer Valley Middle/High School,44,80-89,,.,,.,,.,,.,1,PS,43,80-89,3,PS,16,60-79,,.
IOWA,19,1905490,Brooklyn-Guernsey-Malcom Comm School District,190549000174,Brooklyn-Guernsey-Malcom Jr-Sr High School,44,GE90,,.,,.,,.,4,PS,2,PS,38,GE90,5,PS,19,GE80,3,PS
IOWA,19,1905790,Burlington Comm School District,190579000181,Burlington Community High School,257,86,1,PS,3,PS,19,60-79,16,GE80,11,GE50,207,85-89,57,40-49,105,75-79,1,PS
IOWA,19,1905790,Burlington Comm School District,190579001974,Burlington Alternative School,67,35-39,,.,,.,16,40-59,4,PS,3,PS,44,30-39,14,LT50,57,30-39,,.
IOWA,19,1905970,CAL Comm School District,190597000201,CAL Community High School,20,GE80,,.,,.,,.,2,PS,,.,18,GE80,3,PS,11,GE50,2,PS
IOWA,19,1906000,Calamus-Wheatland Comm School District,190600002042,Calamus-Wheatland Sec Attendance Center,42,GE90,,.,,.,,.,1,PS,,.,41,GE90,3,PS,12,GE50,,.
IOWA,19,1906060,Camanche Comm School District,190606000206,Camanche High School,63,75-79,,.,,.,,.,4,PS,,.,59,70-79,12,LT50,18,40-59,,.
IOWA,19,1906240,Cardinal Comm School District,190624000211,Cardinal Middle-Senior High School,55,GE90,,.,,.,,.,2,PS,,.,53,GE90,6,GE50,30,GE80,,.
IOWA,19,1906270,Carlisle Comm School District,190627000215,Carlisle High School,118,85-89,,.,1,PS,2,PS,5,PS,4,PS,106,85-89,21,40-59,32,60-69,,.
IOWA,19,1906330,Carroll Comm School District,190633000218,Carroll High School,134,90-94,,.,,.,1,PS,3,PS,3,PS,127,90-94,17,GE80,34,70-79,1,PS
IOWA,19,1906510,Cedar Falls Comm School District,190651000221,Cedar Falls High School,303,96,,.,11,GE50,8,GE50,9,GE50,5,PS,270,GE95,34,70-79,50,80-89,3,PS
IOWA,19,1906510,Cedar Falls Comm School District,190651000830,Cedar Falls Alternative,22,60-79,,.,1,PS,1,PS,,.,1,PS,19,60-79,5,PS,9,GE50,,.
IOWA,19,1906510,Cedar Falls Comm School District,190651000224,Holmes Junior High School,1,PS,,.,,.,,.,,.,,.,1,PS,,.,,.,,.
IOWA,19,1906540,Cedar Rapids Comm School District,190654000263,Thomas Jefferson High School,322,97,3,PS,9,GE50,31,GE90,6,GE50,1,PS,272,GE95,46,80-89,105,90-94,,.
IOWA,19,1906540,Cedar Rapids Comm School District,190654000250,John F Kennedy High School,413,96,1,PS,14,GE50,28,GE80,6,GE50,,.,364,97,44,GE90,71,90-94,,.
IOWA,19,1906540,Cedar Rapids Comm School District,190654000241,George Washington High School,307,92,1,PS,9,GE50,70,85-89,9,GE50,1,PS,217,GE95,45,80-89,122,85-89,15,GE50
IOWA,19,1906540,Cedar Rapids Comm School District,190654000259,Metro High School,101,25-29,,.,2,PS,11,LT50,3,PS,4,PS,81,30-34,31,30-39,76,25-29,,.
