NCES ID,Free Lunch,Reduced Lunch,,,,
190408000101,94,27,,,,
190408000102,70,36,,,,
191467000467,20,9,,,,
190354000049,104,19,,,,
190822000409,444,131,,,,
190309000006,59,18,,,,
190309000007,43,7,,,,
190633000522,65,30,,,, 
190858000456,227,53,,,,
190315000008,57,30,,,,
190315001986,60,26,,,,
190315000009,53,22,,,,
192211001313,149,27,,,,
190306000003,53,14,,,,
190306000004,39,14,,,,
190306000634,51,21,,,,
191401000838,42,23,,,,
190322001937,75,27,,,,
190322001938,29,14,,,,
190322001939,29,19,,,,
192094001251,34,16,,,,
190003101300,29,9,,,,
190327000017,80,41,,,,
190327001406,54,22,,,,
190330000024,34,6,,,,
190330000025,36,7,,,,
190003201317,74,22,,,,
190579000191,261,11,,,,
190336000030,89,33,,,,
190336000034,64,22,,,,
190339000039,68,29,,,,
190345000042,41,15,,,,
190348000045,103,22,,,,
190348000046,44,13,,,,
190735000374,0,0,,,,
191878001099,58,11,,,,
191914001250,11,1,,,,
192682001566,89,31,,,,
190759000048,17,8,,,,
190354000050,234,47,,,,
190354000060,194,51,,,,
190357000061,93,40,,,,
190507000153,103,34,,,,
190363000067,49,13,,,,
190363002136, , ,,,,
190369000071,94,32,,,,
191872001082,236,23,,,,
190372000080,40,15,,,,
190372000079,61,23,,,,
190375000082,36,21,,,,
190375000081,46,15,,,,
190375001337,48,26,,,,
190378000083,10,2,,,,
190385002137, , ,,,,
190385001901,43,17,,,,
190385001899,29,29,,,,
190654000233,128,16,,,,
190369002094,41,20,,,,
193024000427,16,1,,,,
190483000136,36,9,,,,
190393000090,146,34,,,,
190393000093,96,32,,,,
190396000095,63,14,,,,
190948000602,181,31,,,,
190396000096,83,34,,,,
190402000099,20,1,,,,
190402000013,13,7,,,,
192061002127,129,35,,,,
191872001084,385,64,,,,
191320000789,59,21,,,,
190420000106,35,10,,,,
190420000105,66,12,,,,
192061002052,43,7,,,,
190432000111,39,10,,,,
190432000864,80,25,,,,
190438000113,67,4,,,,
190438000114,50,2,,,,
190432000862,83,15,,,,
190444000119,58,8,,,,
190444000118,47,11,,,,
190444000087,35,13,,,,
191545000478,79,34,,,,
190456000122,127,23,,,,
190456000120,94,33,,,,
190462000124,54,22,,,,
190465000128,64,17,,,,
190465000129,63,19,,,,
190468001436,7,4,,,,
190468000130,90,31,,,,
190468002090,179,43,,,,
190474000134,22,9,,,,
190483001987,31,14,,,,
190483000137,66,37,,,,
192061002117,232,44,,,,
192061001221,155,39,,,,
193135001823,22,11,,,,
190336000031,88,21,,,,
190486000142,229,110,,,,
190486000143,191,97,,,,
190579000180,198,15,,,,
190822000411,293,34,,,,
190858000457,56,9,,,,
190771000597,242,38,,,,
191470000881,21,4,,,,
190507002125,64,35,,,,
190507000154,49,21,,,,
190513000156,157,59,,,,
190513000157,200,87,,,,
191722001002,38,11,,,,
190519000166,66,63,,,,
190519000167,64,28,,,,
190957000599,60,17,,,,
190957000628,73,20,,,,
192311001362,63,14,,,,
191851001060,149,34,,,,
190891002097,177,25,,,,
190897000517,289,61,,,,
191644000980,31,32,,,,
190549000173,87,27,,,,
190549000174,50,27,,,,
193051000699,85,19,,,,
190897000746,427,71,,,,
190948000603,74,18,,,,
190336000032,51,17,,,,
192640001498,221,45,,,,
190858000458,278,9,,,,
190858000459,119,19,,,,
191470002133,89,18,,,,
193048000586,235,65,,,,
190579001974,75,7,,,,
190579000181,448,71,,,,
191182000720,210,28,,,,
190597000201,36,15,,,,
190597000203,63,10,,,,
190600000204,87,31,,,,
190600002042,67,14,,,,
190897000519,385,37,,,,
190594000070, , ,,,,
190594000200,38,13,,,,
190594000069, , ,,,,
190594000199,42,16,,,,
190606000209,123,30,,,,
190606000206,66,26,,,,
190606000207,101,42,,,,
190897000518,421,23,,,,
190624001975,150,37,,,,
191851001061,174,27,,,,
190624000211,123,50,,,,
190627000214,114,44,,,,
