NCES ID,School Name,School Type,Phone Number,Minimum Grade,Maximum Grade,Zip Code
190894000831, 3-5 ELEMENTARY SCHOOL LINCOLN STREET BUILDING, Public, (319) 984-5611,3,5,50622
190408000101, A-H-S-T ELEMENTARY SCHOOL, Public, (712) 343-6364, PK,6,51521
190408000102, A-H-S-T HIGH SCHOOL, Public, (712) 343-6304,7,12,51521
191467000467, A.D.A.P.T PRE-SCHOOL, Public, (641) 765-4901, PK,PK,50257
190354000049, ABBIE SAWYER ELEMENTARY SCHOOL, Public, (515) 239-3790, KG,5,50010
190822000409, ABRAHAM LINCOLN HIGH SCHOOL, Public, (712) 328-6481,9,12,51503
190309000006, ADAIR-CASEY ELEMENTARY SCHOOL, Public, (641) 746-2242, PK,6,50002
190309000007, ADAIR-CASEY JR-SR HIGH SCHOOL, Public, (641) 746-2241,7,12,50002
190633000522, ADAMS ELEMENTARY SCHOOL, Public, (712) 792-8040,4,5,51401
190858000456, ADAMS ELEMENTARY SCHOOL, Public, (563) 391-6563, KG,5,52804
190315000008, ADEL ELEMENTARY SCHOOL, Public, (515) 993-4285, PK,2,50003
190315001986, ADM MIDDLE SCHOOL, Public, (515) 993-3490,6,8,50003
190315000009, ADM SENIOR HIGH SCHOOL, Public, (515) 993-4584,9,12,50003
192211001313, AGASSIZ ELEMENTARY SCHOOL, Public, (641) 684-7179, KG,5,52501
190306000003, AGWSR ELEMENTARY SCHOOL, Public, (641) 847-2611, KG,3,50601
190306000004, AGWSR HIGH SCHOOL, Public, (641) 847-2633,9,12,50601
190306000634, AGWSR MIDDLE SCHOOL, Public, (641) 869-5121,4,8,50680
191401000838, AINSWORTH ELEMENTARY SCHOOL, Public, (319) 657-3151, PK,5,52201
190322001937, AKRON WESTFIELD ELEMENTARY SCHOOL, Public, (712) 568-3322, PK,5,51001
190322001938, AKRON WESTFIELD MIDDLE SCHOOL, Public, (712) 568-2020,6,8,51001
190322001939, AKRON WESTFIELD SENIOR HIGH SCHOOL, Public, (712) 568-2020,9,12,51001
192094001251, ALAN SHEPARD ELEMENTARY SCHOOL, Public, (563) 285-8041, PK,6,52756
190003101300, ALBERT CITY-TRUESDALE ELEMENTARY SCHOOL, Public, (712) 843-5416, PK,6,50510
190327000017, ALBIA HIGH SCHOOL, Public, (641) 932-2161,9,12,52531
190327001406, ALBIA MIDDLE SCHOOL, Public, (641) 932-2161,7,8,52531
190330000024, ALBURNETT ELEMENTARY SCHOOL, Public, (319) 842-2261, KG,6,52202
190330000025, ALBURNETT JUNIOR-SENIOR HIGH SCHOOL, Public, (319) 842-2263,7,12,52202
190003201317, ALDEN ELEMENTARY SCHOOL, Public, (515) 859-3394, PK,6,50006
190579000191, ALDO LEOPOLD MIDDLE SCHOOL, Public, (319) 752-8390,6,8,52601
190336000030, ALGONA HIGH SCHOOL, Public, (515) 295-7207,9,12,50511
457838, ALL SAINTS CATHOLIC SCHOOL, Private, (563) 391-6368, PK,8,52804
457463, ALL SAINTS SCHOOL, Private, (319) 363-4110, PK,5,52403
190339000039, ALLAMAKEE JUNIOR HIGH SCHOOL, Public, (563) 568-6321,7,8,52172
190345000042, ALLISON ELEM. BUILDING, Public, (319) 267-2212, PK,4,50602
190348000011, ALTA 5-8 MIDDLE SCHOOL, Public, (712) 200-1401,5,8,51002
190348000045, ALTA ELEMENTARY SCHOOL, Public, (712) 200-1400, PK,4,51002
190348000046, ALTA SENIOR HIGH SCHOOL, Public, (712) 200-1331,9,12,51002
190735000374, ALTERNATIVE HIGH SCHOOL CLARINDA COMM. SCHOOL, Public, (712) 542-5165,9,12,51632
191878001099, ALTERNATIVE SCHOOL, Public, (641) 421-4426,9,12,50401
191914001250, ALTERNTIVE LEARNING CENT, Public, (319) 646-6096,9,12,52356
192682001566, ALTOONA ELEMENTARY SCHOOL, Public, (515) 967-3771, PK,5,50009
190759000048, AMANA ELEMENTARY SCHOOL, Public, (319) 622-3255, PK,5,52203
A9300389, AMES CHRISTIAN SCHOOL, Private, (515) 233-0772, PK,5,50010
190354000050, AMES HIGH SCHOOL, Public, (515) 817-0600,9,12,50010
190354000060, AMES MIDDLE SCHOOL, Public, (515) 268-2400,6,8,50014
190357000061, ANAMOSA HIGH SCHOOL, Public, (319) 462-3594,9,12,52205
190507000153, ANDERSON ELEMENTARY SCHOOL, Public, (515) 967-7494, PK,4,50035
190363000067, ANDREW ELEMENTARY SCHOOL, Public, (563) 672-3221, PK,6,52030
190363000068, ANDREW HIGH SCHOOL, Public, (563) 672-3221,7,12,52030
190366000069, ANITA ELEMENTARY SCHOOL, Public, (712) 762-3231, PK,5,50020
A9501805, ANKENY CHRISTIAN ACADEMY, Private, (515) 965-8114, PK,12,50023
190369000071, ANKENY HIGH SCHOOL, Public, (515) 965-9630,10,12,50023
191872001082, ANSON ELEMENTARY SCHOOL, Public, (641) 754-1020, KG,4,50158
190372000080, ANTHON-OTO ELEMENTARY SCHOOL, Public, (712) 373-5244, PK,5,51004
190372000079, ANTHON-OTO-MAPLE VALLEY MIDDLE SCHOOL, Public, (712) 373-5244,6,8,51004
190375000082, APLINGTON / PARKERSBURG MIDDLE SCHOOL, Public, (319) 347-6621,6,8,50604
190375000081, APLINGTON ELEMENTARY SCHOOL, Public, (319) 347-6621, KG,5,50604
190375001337, APLINGTON PARKERSBURG HIGH SCHOOL, Public, (319) 346-1571,9,12,50665
457485, AQUIN CATHOLIC ELEMENTARY SCHOOL, Private, (563) 852-3331, PK,8,52033
190378000083, ARCADIA ELEMENTARY SCHOOL, Public, (712) 689-2227,3,5,51467
190385001901, ARMSTRONG-RINGSTED ELEMENTARY SCHOOL, Public, (712) 866-0191, PK,4,50578
190385001899, ARMSTRONG-RINGSTED MS/HIGH SCHOOL, Public, (712) 868-3542,5,12,50514
190654000233, ARTHUR ELEMENTARY SCHOOL, Public, (319) 558-2264, PK,5,52402
190369002094, ASHLAND RIDGE ELEMENTARY, Public, (515) 965-9594, PK,5,50023
A0901538, ASPENWOOD CHRISTIAN SCHOOL, Private, (712) 224-2575, KG,3,51104
457962, ASSUMPTION HIGH SCHOOL, Private, (563) 326-5313,9,12,52804
458274, ASSUMPTION SCHOOL, Private, (515) 999-2211, PK,8,50109
193024000427, ASSURE CENTER ALTERNATIVE SCHOOL, Public, (319) 653-7378,9,12,52353
190483000136, ATKINS ELEMENTARY SCHOOL, Public, (319) 446-7525, PK,4,52206
190393000090, ATLANTIC HIGH SCHOOL, Public, (712) 243-5358,9,12,50022
190393000093, ATLANTIC MIDDLE SCHOOL, Public, (712) 243-1330,6,8,50022
190948000602, AUDUBON ELEMENTARY SCHOOL, Public, (563) 552-3300, KG,5,52001
190396000095, AUDUBON ELEMENTARY SCHOOL, Public, (712) 563-3751, PK,4,50025
190396000096, AUDUBON MIDDLE-HIGH SCHOOL, Public, (712) 563-2607,5,12,50025
190402000099, AURELIA ELEMENTARY SCHOOL, Public, (712) 434-5595, PK,4,51005
190402000100, AURELIA HIGH SCHOOL, Public, (712) 434-5595,9,12,51005
190402000013, AURELIA MIDDLE SCHOOL, Public, (712) 434-5595,5,8,51005
192061002127, AURORA HEIGHTS ELEMENTARY SCHOOL, Public, (641) 792-7324,4,6,50208
191872001084, B R MILLER MIDDLE SCHOOL, Public, (641) 754-1110,7,8,50158
191320000789, BAILEY PARK ELEMENTARY SCHOOL, Public, (641) 236-2770, KG,2,50112
A0701001, BAIS CHAYA MUSHKA-OHOLEI MENACHEM TORAH ED PROG, Private, (563) 864-3632, PK,10,52162
190420000106, BALLARD COMMUNITY JUNIOR HIGH SCHOOL, Public, (515) 597-2971,7,8,50124
190420000105, BALLARD COMMUNITY SENIOR HIGH SCHOOL, Public, (515) 597-2971,9,12,50124
192061002052, BASICS AND BEYOND ALTERNATIVE SCHOOL, Public, (641) 791-0700,10,12,50208
190432000111, BATTLE CREEK-IDA GROVE INTERMEDIATE SCHOOL, Public, (712) 365-4354,4,6,51006
190432000864, BATTLE CREEK-IDA GROVE SENIOR HIGH SCHOOL, Public, (712) 364-3371,9,12,51445
