school,latitude,longitude
ADAIR-CASEYELEMENTARYSCHOOL,41.5204529,-94.5858729
ADAIR-CASEYJR-SRHIGHSCHOOL,41.5204529,-94.5858729
ADELELEMENTARYSCHOOL,43.8210328,-73.103914
ADMMIDDLESCHOOL,43.8210328,-73.103914
ADMSENIORHIGHSCHOOL,43.8210328,-73.103914
NORTHPOLKCENTRALELEMENTARYSCHOOL,43.8210328,-73.103914
NORTHPOLKHIGHSCHOOL,45.525065,-122.5183341
NORTHPOLKMIDDLESCHOOL,45.525065,-122.5183341
ALTOONAELEMENTARYSCHOOL,45.525065,-122.5183341
CENTENNIALELEMENTARYSCHOOL,42.7821348,-96.1553657
CLAYELEMENTARY,42.7821348,-96.1553657
WILLOWBROOKELEMENTARYSCHOOL,27.5721516,-80.3802649
ABBIESAWYERELEMENTARYSCHOOL,42.0345666,-93.6773359
AMESHIGHSCHOOL,42.0345666,-93.6773359
EDWARDSELEMENTARYSCHOOL,42.0345666,-93.6773359
FELLOWSELEMENTARYSCHOOL,42.3606066,-83.4744185
KATEMITCHELLELEMENTARYSCHOOL,42.3606066,-83.4744185
MEEKERELEMENTARYSCHOOL,33.513423,-86.8996448
NORTHWOODPRE-SCHOOL,33.513423,-86.8996448
AMESCHRISTIANSCHOOL,37.3321925,-95.2592134
STCECILIAELEMENTARYSCHOOL,37.3321925,-95.2592134
AMESMIDDLESCHOOL,37.3321925,-95.2592134
NORTHEASTELEMENTARY,37.3321925,-95.2592134
SOUTHEASTELEMENTARYSCHOOL,37.3321925,-95.2592134
TERRACEELEMENTARYSCHOOL,37.3321925,-95.2592134
ATLANTICHIGHSCHOOL,41.6006945,-93.6003419
ATLANTICMIDDLESCHOOL,39.1067901,-84.527994
SCHULERELEMENTARYSCHOOL,39.1067901,-84.527994
WASHINGTONELEMENTARYSCHOOL,39.1067901,-84.527994
ANKENYHIGHSCHOOL,39.1067901,-84.527994
ASHLANDRIDGEELEMENTARY,39.1067901,-84.527994
CROCKERELEMENTARYSCHOOL,39.1067901,-84.527994
ANKENYCHRISTIANACADEMY,42.845792,-106.3493335
COTTONTAILCREEKMONTESSORISCHOOL,42.845792,-106.3493335
AUDUBONELEMENTARYSCHOOL,33.2592761,-81.241743
AUDUBONMIDDLE-HIGHSCHOOL,33.2592761,-81.241743
BAXTERELEMENTARYSCHOOL,21.1461271,-101.6569543
BAXTERHIGHSCHOOL,21.1461271,-101.6569543
NORTHEASTHAMILTONELEMENTARYSCHOOL,41.3814416,-93.6912445
NORTHEASTHAMILTONHIGHSCHOOL,41.3814416,-93.6912445
NORTHEASTHAMILTONMIDDLESCHOOL,41.3814416,-93.6912445
ANDERSONELEMENTARYSCHOOL,41.3814416,-93.6912445
BOONEMIDDLESCHOOL,41.433211,-90.5678958
FRANKLINELEMENTARYSCHOOL,29.7469914,-95.3651703
FUTURES,33.6653333,-93.5987214
LINCOLNELEMENTARYSCHOOL,42.0593239,-93.9009501
PAGEELEMENTARYSCHOOL,46.9687807,-123.8023949
UNITEDCOMMUNITYNORTH,42.0403088,-94.2415553
UNITEDCOMMUNITYSOUTH,42.0403088,-94.2415553
SACREDHEARTSCHOOL,39.7349177,-105.0683485
TRINITYLUTHERANSCHOOL,37.9510041,-86.7645207
CARLISLEELEMENTARYSCHOOL,41.9234774,-71.8979156
CARLISLEHIGHSCHOOL,41.9234774,-71.8979156
CARLISLEMIDDLESCHOOL,41.9234774,-71.8979156
HARTFORDUPPERELEMENTAR,41.9234774,-71.8979156
CHARITONHIGHSCHOOL,33.4241985,-111.8356684
CHARITONMIDDLESCHOOL,41.6011118,-83.4351832
COLUMBUSELEMENTARYSCHOOL,41.6011118,-83.4351832
VANALLENELEMENTARYSCHOOL,34.555108,-97.976342
PATON-CHURDANJR-SRHIGHSCHOOL,21.1461271,-101.6569543
COLFAX-MINGOHIGHSCHOOL,21.1461271,-101.6569543
COLLINS-MAXWELLELEMENTARYSCHOOL,21.1461271,-101.6569543
COLOELEMENTARYSCHOOL,21.1461271,-101.6569543
COLO-NESCOSENIORHIGHSCHOOL,21.1461271,-101.6569543
WAYNECOMMUNITYJR-SRHIGHSCHOOL,40.7577535,-93.3203793
WAYNEELEMENTARYSCHOOL,40.7577535,-93.3203793
MELCHER-DALLASELEM,-16.0689348,136.3064149
EXIRAELEMENTARYSCHOOL,18.0631584,-93.1647219
EXIRAJUNIOR-SENIORHIGHSCHOOL,18.0631584,-93.1647219
GILBERTELEMENTARYSCHOOL,53.76186,9.8245328
GILBERTHIGHSCHOOL,53.76186,9.8245328
GILBERTMIDDLESCHOOL,44.2635652,-96.2857519
BAILEYPARKELEMENTARYSCHOOL,30.9572883,-85.5139273
DAVISELMENTARYSCHOOL,40.2182302,-74.7384588
FAIRVIEWELEMENTARYSCHOOL,40.2182302,-74.7384588
GRINNELLCOMMUNITYMIDDLESCHOOL,41.9727885,-72.6142556
GRINNELLCOMMUNITYSENIORHIGHSCHOOL,40.1819109,-105.121384
CENTRALIOWACHRISTIANSCHOOL,48.8448173,-95.7901532
GUTHRIECENTERELEMENTARYSCHOOL,36.4053327,-97.8726067
GUTHRIECENTERHIGHSCHOOL,44.4902982,-70.2725178
GUTHRIECENTERJUNIORHIGHSCHOOL,44.4902982,-70.2725178
MORMONTRAILELEMENTARYSCHOOL,21.1461271,-101.6569543
EMERSONELEMENTARYSCHOOL,37.0711094,-94.6280795
INDIANOLAHIGHSCHOOL,45.3003978,-122.9653515
INDIANOLAMIDDLESCHOOL,39.9456706,-75.1667686
IRVINGELEMENTARYSCHOOL,39.7312375,-87.4748392
WHITTIERELEMENTARYSCHOOL,44.911486,-123.0555795
PINEVIEWELEMENTARY,44.911486,-123.0555795
RIVERBENDMIDDLESCHOOL,42.7866671,-89.2986765
ROCKRUNELEMENTARY,37.1205178,-113.6130357
JEFFERSON-SCRANTONELEM,33.001056,-94.6355999
JEFFERSON-SCRANTONHIGHSCHOOL,33.5846979,-83.8993607
JEFFERSON-SCRANTONMIDDLESCHOOL,40.7361729,-74.1506187
SOUTHHAMILTONELEM,43.6677364,-116.6930172
SOUTHHAMILTONMIDDLEANDHIGHSCHOOL,48.3711152,-120.1233502
KNOXVILLEHIGHSCHOOL,39.6693414,-86.9017545
KNOXVILLEMIDDLESCHOOL,40.8125348,-96.7200571
NORTHSTARELEMENTARYSCHOOL,29.6501688,-95.2883613
TRABERTCENTERGOALALTERNATIVESCHOOL,29.6501688,-95.2883613
WESTELEMENTARY,32.721093,-97.1092698
SOUTHEASTWARRENINTERMEDIATE,37.0512732,-80.7797573
CENTRALDECATURMS/SRHIGHSCHOOL,40.7482721,-93.7430786
NORTHELEMENTARYSCHOOL,40.7482921,-93.7430785
SOUTHELEMENTARYSCHOOL,40.7482921,-93.7430785
MCCALLSBURGELEMENTARYSCHOOL,40.2800895,-79.3658066
MADRIDELEMENTARYSCHOOL,37.6460327,-98.7410338
MADRIDHIGHSCHOOL,30.2414076,-92.825626
MADRIDJUNIORHIGHSCHOOL,30.2414076,-92.825626
ANSONELEMENTARYSCHOOL,34.7557224,-84.769334
LENIHANINTERMEDIATESCHOOL,42.0321145,-92.9157435
MARSHALLTOWNHIGHSCHOOL,34.4253753,-86.9291589
ROGERSELEMENTARYSCHOOL,42.0462474,-88.2723287
WOODBURYELEMENTARYSCHOOL,33.4482969,-112.0825431
CENTRALIOWACHRISTIANACADEMY,38.0885212,-102.6072969
MARSHALLTOWNAREACATHOLICSCHOOL,42.0466794,-92.9130913
MARTENSDALEELEMENTARYSCHOOL,37.847367,-93.9214899
MARTENSDALE-STMARYSJR-SRHIGHSCHOOL,37.847367,-93.9214899
COLLINS-MAXWELLMIDDLE/HIGHSCHOOL,37.847367,-93.9214899
MITCHELLVILLEELEMENTARYSCHOOL,46.4474859,-95.1374269
MONTEZUMAELEMENTARYSCHOOL,18.0631584,-93.1647219
MONTEZUMAHIGHSCHOOL,18.0631584,-93.1647219
MONTEZUMAJUNIORHIGHSCHOOL,18.0631584,-93.1647219
CENTRALELEMENTARYSCHOOL,44.5793657,-91.2202333
NEVADAHIGHSCHOOL,33.4723537,-81.9903869
BASICSANDBEYONDALTERNATIVESCHOOL,33.4723537,-81.9903869
BERGELEMENTARYSCHOOL,45.6909043,-94.8072373
BERGMIDDLESCHOOL,45.6909043,-94.8072373
EMERSONHOUGHELEMENTARYSCHOOL,45.6909043,-94.8072373
NEWTONSENIORHIGHSCHOOL,42.7344928,-93.2024869
THOMASJEFFERSONELEMENTARYSCHOOL,44.2041504,-105.3621001
WOODROWWILSONELEMENTARYSCHOOL,44.2041504,-105.3621001
NEWTONCHRISTIANSCHOOL,44.2041504,-105.3621001
LAKEWOODELEMENTARYSCHOOL,44.2041504,-105.3621001
NORWALKMIDDLESCHOOL,39.6342979,-76.390678
CLARKECOMMUNITYELEMENTARYSCHOOL,36.3896311,-77.4121761
CLARKECOMMUNITYHIGHSCHOOL,39.6153861,-90.8028805
CLARKEMIDDLESCHOOLSCHOOL,39.6153861,-90.8028805
PELLACHRISTIANGRADESCHOOL,41.4848131,-80.4375423
PELLACHRISTIANHIGHSCHOOL,37.0380282,-79.9061366
PEORIACHRISTIANSCHOOL,40.6465311,-89.6574492
PERRYELEMENTARY,37.7753764,-122.2725947
PERRYHIGHSCHOOL,43.4226288,-95.1073072
PERRYMIDDLESCHOOL,43.4226288,-95.1073072
STPATRICKSSCHOOL,44.7852243,-122.6177392
PLEASANTVILLEELEMENTARY,31.7324562,-89.983801
PLEASANTVILLEHIGHSCHOOL,31.7324562,-89.983801
PLEASANTVILLEMIDDLESCHOOL,31.7324562,-89.983801
WESTCENTRALVALLEYMIDDLESCHOOL,-16.0689348,136.3064149
ROLAND-STORYMIDDLESCHOOL,32.9326288,-97.2537555
RUNNELLSELEMENTARYSCHOOL,32.9326288,-97.2537555
WESTMARSHALLELEMENTARYSCHOOL,28.0208227,-81.7305388
WESTMARSHALLHIGHSCHOOL,18.0631584,-93.1647219
WESTMARSHALLMIDDLESCHOOL,35.2419688,-92.9384767
ROLAND-STORYELEMENTARYSCHOOL,34.1595506,-99.3132912
SULLYCHRISTIANSCHOOL,34.1595506,-99.3132912
WAUKEEELEMENTARYSCHOOL,36.7993992,-98.6668422
WAUKEEMIDDLESCHOOL,41.6437504,-93.8722057
WAUKEESENIORHIGHSCHOOL,35.4747542,-93.4681801
WAUKEESOUTHMS,35.4747542,-93.4681801
FAIRMEADOWSELEMENTARYSCHOOL,34.9751716,-101.9193601
HILLSIDEELEMENTARYSCHOOL,40.9258423,-100.1604316
JORDANCREEKELEMENTARYSCHOOL,32.7014016,-93.4302485
PHENIXELEMENTARYEARLYCHILDHOODCENTER,35.5930683,-105.2155398
STILWELLJUNIORHIGHSCHOOL,35.5930683,-105.2155398
VALLEYSOUTHWOODS,43.0246964,-87.9576484
DOWLINGCATHOLICHIGHSCHOOL,42.1281258,-80.0453272
IOWACHRISTIANACADEMY,38.8814489,-99.3178089
SACREDHEARTSCHOOL,38.8814489,-99.3178089
SHEPHERD'SFLOCKEARLYLEARNINGCENTER,38.8814489,-99.3178089
BROOKVIEWELEMENTARY,38.8814489,-99.3178089
CROSSROADSPARKELEMENTARYSCHOOL,43.558577,-94.6641769
