NCES ID,Formatted NCES ID,NCES School Name,Street Address,Town,State,Zip,Phone,County,Type,Min_Grade,Max_Grade,
190309000006,190309000006, ADAIR-CASEY ELEMENTARY SCHOOL, 3384 INDIGO AVE., ADAIR, IA,50002, (641) 746-2242,GUTHRIE COUNTY COUNTY, Public, PK,6,
190309000007,190309000007, ADAIR-CASEY JR-SR HIGH SCHOOL, 3384 INDIGO AVE, ADAIR, IA,50002, (641) 746-2241,GUTHRIE COUNTY COUNTY, Public,7,12,
190315000008,190315000008, ADEL ELEMENTARY SCHOOL, 1608 GROVE ST., ADEL, IA,50003, (515) 993-4285,DALLAS COUNTY COUNTY, Public, PK,2,
190315001986,190315001986, ADM MIDDLE SCHOOL, 801 NILE KINNICK DR. S., ADEL, IA,50003, (515) 993-3490,DALLAS COUNTY COUNTY, Public,6,8,
190315000009,190315000009, ADM SENIOR HIGH SCHOOL, 801 NILE KINNICK DR S, ADEL, IA,50003, (515) 993-4584,DALLAS COUNTY COUNTY, Public,9,12,
190003201317,190003201317, ALDEN ELEMENTARY SCHOOL, P.O. BOX 48, ALDEN, IA,50006, (515) 859-3394,HARDIN COUNTY COUNTY, Public, PK,6,
192091001923,192091001923, NORTH POLK CENTRAL ELEMENTARY SCHOOL, 311 NE 141ST AVE, ALLEMAN, IA,50007, (515) 251-3400,POLK COUNTY COUNTY, Public, PK,6,
192091001248,192091001248, NORTH POLK HIGH SCHOOL, 315 NE 141ST AVE, ALLEMAN, IA,50007, (515) 685-3528,POLK COUNTY COUNTY, Public,9,12,
192091002095,192091002095, NORTH POLK MIDDLE SCHOOL, 315 NE 141ST AVE., ALLEMAN, IA,50007, (515) 685-3528,POLK COUNTY COUNTY, Public,7,8,
192682001566,192682001566, ALTOONA ELEMENTARY SCHOOL, 301 6TH ST SW, ALTOONA, IA,50009, (515) 967-3771,POLK COUNTY COUNTY, Public, PK,5,
192682001567,192682001567, CENTENNIAL ELEMENTARY SCHOOL, 910 7TH AVE SE, ALTOONA, IA,50009, (515) 967-2109,POLK COUNTY COUNTY, Public, PK,5,
192682001168,192682001168, CLAY ELEMENTARY, 3200 FIRST AVENUE S., ALTOONA, IA,50009, (515) 967-4198,POLK COUNTY COUNTY, Public, PK,5,
192682002068,192682002068, WILLOWBROOK ELEMENTARY SCHOOL, 300 17TH STREET SW, ALTOONA, IA,50009, (515) 967-7512,POLK COUNTY COUNTY, Public, PK,5,
190354000049,190354000049, ABBIE SAWYER ELEMENTARY SCHOOL, 4316 ONTARIO ST, AMES, IA,50010, (515) 239-3790,STORY COUNTY COUNTY, Public, KG,5,
190354000050,190354000050, AMES HIGH SCHOOL, 1921 AMES HIGH DRIVE, AMES, IA,50010, (515) 817-0600,STORY COUNTY COUNTY, Public,9,12,
190354000052,190354000052, EDWARDS ELEMENTARY SCHOOL, 3622 WOODLAND ST, AMES, IA,50010, (515) 239-3760,STORY COUNTY COUNTY, Public, KG,5,
190354000053,190354000053, FELLOWS ELEMENTARY SCHOOL, 1400 MC KINLEY, AMES, IA,50010, (515) 239-3765,STORY COUNTY COUNTY, Public, KG,5,
190354000054,190354000054, KATE MITCHELL ELEMENTARY SCHOOL, 3521 JEWEL DR, AMES, IA,50010, (515) 239-3775,STORY COUNTY COUNTY, Public, KG,5,
190354000056,190354000056, MEEKER ELEMENTARY SCHOOL, 300 20TH STREET, AMES, IA,50010, (515) 239-3770,STORY COUNTY COUNTY, Public, KG,5,
190354001906,190354001906, NORTHWOOD PRE-SCHOOL, 3012 DUFF AVENUE, AMES, IA,50010, (515) 268-2470,STORY COUNTY COUNTY, Public, PK, KG,
A9300389,A9300389, AMES CHRISTIAN SCHOOL, 925 S 16TH ST, AMES, IA,50010, (515) 233-0772,STORY COUNTY, Private, PK,5,
457554,00457554, ST CECILIA ELEMENTARY SCHOOL, 2900 HOOVER AVE, AMES, IA,50010, (515) 232-5290,STORY COUNTY, Private, KG,5,
190354000060,190354000060, AMES MIDDLE SCHOOL, 3915 MORTENSEN ROAD, AMES, IA,50014, (515) 268-2400,STORY COUNTY COUNTY, Public,6,8,
A0901534,A0901534, MARANATHA CHRISTIAN ACADEMY, PO BOX 1286, AMES, IA,50014, (515) 203-9675,STORY COUNTY, Private,4,11,
190366000069,190366000069, ANITA ELEMENTARY SCHOOL, 709 MCINTYRE DR, ANITA, IA,50020, (712) 762-3231,CASS COUNTY COUNTY, Public, PK,5,
190366000070,190366000070, CAM HIGH SCHOOL, 1000 VICTORY PARK RD, ANITA, IA,50020, (712) 762-3231,CASS COUNTY COUNTY, Public,9,12,
190369000072,190369000072, EAST ELEMENTARY SCHOOL, 710 SE 3RD, ANKENY, IA,50021, (515) 965-9660,POLK COUNTY COUNTY, Public, PK,5,
190369000148,190369000148, NORTHEAST ELEMENTARY, 1705 NE TRILEIN, ANKENY, IA,50021, (515) 965-9620,POLK COUNTY COUNTY, Public, PK,5,
190369000077,190369000077, SOUTHEAST ELEMENTARY SCHOOL, 1005 SE TRILEIN DR, ANKENY, IA,50021, (515) 965-9650,POLK COUNTY COUNTY, Public, KG,5,
190369000078,190369000078, TERRACE ELEMENTARY SCHOOL, 310 NW SCHOOL ST, ANKENY, IA,50021, (515) 965-9670,POLK COUNTY COUNTY, Public, PK,5,
190393000090,190393000090, ATLANTIC HIGH SCHOOL, 1201 EAST 14TH ST, ATLANTIC, IA,50022, (712) 243-5358,CASS COUNTY COUNTY, Public,9,12,
190393000093,190393000093, ATLANTIC MIDDLE SCHOOL, 1100 LINN ST, ATLANTIC, IA,50022, (712) 243-1330,CASS COUNTY COUNTY, Public,6,8,
190393000412,190393000412, SCHULER ELEMENTARY SCHOOL, 1100 LINN ST, ATLANTIC, IA,50022, (712) 243-1370,CASS COUNTY COUNTY, Public,4,5,
190393000094,190393000094, WASHINGTON ELEMENTARY SCHOOL, 1100 LINN STREET, ATLANTIC, IA,50022, (712) 243-5234,CASS COUNTY COUNTY, Public, PK,3,
190369000071,190369000071, ANKENY HIGH SCHOOL, 1302 N ANKENY BLVD, ANKENY, IA,50023, (515) 965-9630,POLK COUNTY COUNTY, Public,10,12,
190369002094,190369002094, ASHLAND RIDGE ELEMENTARY, 2600 NW ASH DRIVE, ANKENY, IA,50023, (515) 965-9594,POLK COUNTY COUNTY, Public, PK,5,
