Id,Name,Address,City,State,Zip,Phone,County,Type,Lowest Grade,Highest Grade
129885,SCHALLER-CRESTLAND MIDDLE SCHOOL,300 S. Berwick,SCHALLER,IA,51053,,SAC COUNTY,Public,6,8
129875,Rockwell City Lytton - South Central Calhoun MS,330 BROWER STREET,ROCKWELL CITY,IA,50579,(712) 297-8621,CALHOUN COUNTY,Public,4,8
129874,SCHALLER-CRESTLAND ELEMENTARY,300 S. Berwick,SCHALLER,IA,51053,,SAC COUNTY,Public,PK,5
129873,North Union Middle School - Swea City Campus,PO BOX 567,SWEA CITY,IA,50590,(515) 272-4361,KOSSUTH COUNTY,Public,6,8
129868,ALGONA SETON GRADE SCHOOL,808 E Lucas St,Algona,IA,50511,,KOSSUTH COUNTY,Private,PK,6
129867,ALGONA BISHOP GARRIGAN HS,1224 N. McCoy St,ALGONA,IA,50511,,KOSSUTH COUNTY,Private,7,12
129866,Storm Lake St Mary's HS,312 Seneca Street,Storm Lake,IA,50588,,BUENA VISTA COUNTY,Private,9,12
129865,Storm Lake St Mary's MS,312 Seneca Street,Storm Lake,IA,50588,,BUENA VISTA COUNTY,Private,6,8
129864,Storm Lake St Mary's Elementary,312 Seneca Street,Storm Lake,IA,50588,,BUENA VISTA COUNTY,Private,PK,5
129863,COMMUNITY CHRISTIAN SCHOOL (Grades 6-8),3058 10th Ave N,Fort Dodge,IA,50501,(515) 573-3011,Webster,Private,6,8
129862,ST THOMAS AQUINAS SCHOOL (Grades 5-6),624 Dubuque St,Webster City,IA,50595,(515) 832-1346,Hamilton,Private,5,6
129861,FORT DODGE ST PAUL LUTHERAN SCHOOL (Grades 6-8),400 S 13th,Fort Dodge,IA,50501,(641) 579-6046,Webster,Private,6,8
129860,EMMETSBURG CATHOLIC SCHOOL (Grades 3-5),1903 Broadway St,Emmetsburg,IA,50536,(712) 852-3464,Palo Alto,Private,3,5
129859,Ruthven-Ayrshire Middle School,PO BOX 159,RUTHVEN,IA,51358,(712) 837-5212,PALO ALTO COUNTY,Public,6,8
129858,COWLES MONTESSORI SCHOOL (Grades 6-8),6401 COLLEGE AVE,DES MOINES,IA,50311,(515) 242-7818,POLK COUNTY,Public,6,8
129857,WOODWARD-GRANGER GRANDWOOD (Grades 7-12),1251 334TH ST,WOODWARD,IA,50276,(515) 438-3240,BOONE COUNTY,Public,7,12
129856,SMOUSE OPPORTUNITY SCHOOL (Grades 6-8),2820 CENTER ST,DES MOINES,IA,50312,(515) 242-8210,POLK COUNTY,Public,6,8
129855,ORCHARD PLACE SCHOOL (7-12),5412 SW 9TH STREET,DES MOINES,IA,50315,(515) 287-9700,POLK COUNTY,Public,7,12
129854,EXIRA-EHK MIDDLE SCHOOL (Grades 6-8),BOX 335,EXIRA,IA,50076,(712) 268-5318,AUDUBON COUNTY,Private,6,8
129853,DALLAS CENTER-GRIMES MEADOWS SCHOOL,33521 240TH STREET,GRIMES,IA,50111,(515) 986-9747,DALLAS COUNTY,Public,8,9
129852,COON RAPIDS-BAYARD JR/SR HIGH SCHOOL,PO BOX 297,COON RAPIDS,IA,50058,(712) 999-2208,CARROLL COUNTY,Public,7,12
129851,BONDURANT-FARRAR MIDDLE SCHOOL,300 GARFIELD ST. SW,BONDURANT,IA,50035,(515) 967-3711,POLK COUNTY,Public,5,8
129850,ST. PATRICK SCHOOL (6-8),1302 5th Street,Perry,IA,50220,,Dallas,Private,6,8
129849,ST THERESA SCHOOL (6-8),5810 Carpenter Ave,Des Moines,IA,50311,(515) 277-0178,Polk,Private,6,8
129848,ST. PIUS X SCHOOL (5-6),3601 66th St,Urbandale,IA,50322,(515) 276-1061,Polk,Private,5,6
