,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18-24,,,,,,,25-34,,,,,,,35-44,,,,,,,45-64,,,,,,,65+,,,,,,,18-24,,,,,,,25-34,,,,,,,35-44,,,,,,,45-64,,,,,,,65+,,,,,,,
,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,< 9th,Some HS,HS or GED,Some College,Associates,Bachelors,Grad/Professional,
50001,0,0,2,24,0,0,0,0,16,9,0,0,7,2,0,13,10,13,0,10,0,5,3,56,56,1,6,17,14,3,21,10,1,0,0,0,0,0,28,0,0,0,0,0,18,0,9,1,0,6,0,26,10,2,0,24,0,2,52,51,2,12,4,0,3,22,4,7,0,0,F
50002,0,35,11,20,2,2,0,0,0,11,17,5,40,0,8,6,47,15,34,14,2,1,1,110,34,15,21,15,3,19,58,4,0,0,0,0,8,6,7,0,13,0,0,2,19,36,4,11,0,0,5,23,25,63,12,15,0,8,48,51,17,24,2,30,8,105,36,6,9,0,F
50003,0,30,122,126,6,0,0,0,5,86,18,25,122,16,0,20,109,42,31,130,18,1,50,343,226,85,234,113,22,47,113,33,15,50,22,0,59,86,21,6,14,0,0,0,54,73,22,123,16,0,15,80,128,28,121,105,0,44,403,214,70,208,118,26,34,277,86,13,19,11,F
50005,0,10,37,8,3,0,0,0,0,39,6,0,0,0,46,5,65,10,0,3,8,0,6,17,10,37,7,3,33,9,47,7,0,0,0,0,0,5,2,0,14,0,0,7,5,8,0,0,0,0,0,11,17,3,3,22,3,6,29,15,0,1,4,6,2,70,7,0,3,0,F
50006,0,17,19,13,8,2,0,0,0,38,2,19,20,0,0,0,55,34,28,3,0,7,8,118,32,7,20,26,13,26,68,11,7,9,7,0,13,12,14,0,0,0,4,8,14,36,14,6,9,0,3,14,30,22,26,3,3,4,83,42,41,25,7,3,14,100,25,5,9,9,F
50007,0,0,7,19,3,2,0,0,0,1,6,1,9,0,0,3,2,13,2,21,1,0,0,29,43,15,38,17,0,2,9,4,0,1,0,0,5,2,15,0,0,0,0,0,2,8,3,8,0,0,0,0,10,10,20,7,0,0,21,53,3,42,10,0,4,9,0,0,3,8,F
50008,0,20,5,0,0,0,0,0,0,11,14,7,13,0,0,4,27,3,0,10,0,0,0,33,36,34,5,0,9,15,72,10,0,0,3,0,3,12,0,0,0,0,0,0,10,20,15,17,0,2,0,13,3,4,8,0,0,4,24,13,12,18,0,3,15,79,19,9,0,2,F
50009,0,79,256,256,54,72,0,0,18,277,286,228,392,71,14,35,258,217,131,395,51,0,41,473,500,149,423,165,46,72,253,117,0,44,30,0,55,60,260,45,51,0,0,14,64,400,289,304,237,0,0,278,339,171,472,62,2,0,622,601,257,334,183,27,150,562,126,0,90,0,F
