State Name,FIPS Code,LEA ID,LEA Name,NCES ID,School Name,Student Count,Percent Proficient - All,Count - Native American,Percent Proficient - Native American,Count - Asian/Pacific Islander,Percent Proficient - Asian/Pacific Islander,Count-Black,Percent Proficient - Black,Count - Hispanic,Percent Proficient - Hispanic,Count - Two or More Races,Percent Proficient - Two or More Races,Count - White,Percent Proficient - White,Count - Female,Percent Proficient - Female,Count - Male,Percent Proficient - Male,Count - Disabilities,Percent Proficient - Disabilities,Count - Economically Disadvantaged,Percent Proficient - Economically Disadvantaged,Count - Limited English,Percent Proficient - Limited English,Count - Homeless,Percent Proficient - Homeless,Count - Migrant Students,Percent Proficient - Migrant
IOWA,19,1930540,Waverly-Shell Rock Comm School District,193054000832,Greenview Alternative School,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a,0,n/a
IOWA,19,1930540,Waverly-Shell Rock Comm School District,193054001745,Margaretta Carey Elementary School,86,90-94,0,n/a,3,PS,2,PS,0,n/a,2,PS,79,90-94,37,80-89,49,GE90,13,GE50,21,60-79,0,n/a,0,n/a,0,n/a
IOWA,19,1930540,Waverly-Shell Rock Comm School District,193054001746,Shell Rock Elementary School,59,80-89,0,n/a,0,n/a,0,n/a,1,PS,1,PS,57,80-89,28,GE80,31,70-79,16,40-59,23,GE80,0,n/a,0,n/a,0,n/a
IOWA,19,1930540,Waverly-Shell Rock Comm School District,193054001747,Southeast Elementary School,43,GE90,0,n/a,0,n/a,0,n/a,2,PS,2,PS,39,GE90,22,GE80,21,GE80,6,GE50,17,GE80,0,n/a,0,n/a,0,n/a
IOWA,19,1930540,Waverly-Shell Rock Comm School District,193054001748,Washington Irving Elementary School,244,89,0,n/a,2,PS,1,PS,6,GE50,7,GE50,228,85-89,129,85-89,115,85-89,39,40-49,63,75-79,1,PS,0,n/a,0,n/a
IOWA,19,1930540,Waverly-Shell Rock Comm School District,193054001750,Waverly-Shell Rock Junior High School,281,87,0,n/a,4,PS,3,PS,4,PS,12,GE50,258,85-89,137,90-94,144,80-84,37,50-59,58,70-79,1,PS,0,n/a,0,n/a
IOWA,19,1930540,Waverly-Shell Rock Comm School District,193054001749,Waverly-Shell Rock Senior High School,165,80-84,0,n/a,1,PS,0,n/a,1,PS,2,PS,161,80-84,73,85-89,92,75-79,20,40-59,22,60-79,0,n/a,0,n/a,0,n/a
IOWA,19,1930540,Waverly-Shell Rock Comm School District,193054001751,West Cedar Elementary School,78,90-94,0,n/a,0,n/a,0,n/a,5,PS,1,PS,72,90-94,43,GE90,35,GE90,11,GE50,20,GE80,0,n/a,0,n/a,0,n/a
IOWA,19,1910110,East Buchanan Comm School District,191011000642,East Buchanan Elementary School,131,75-79,0,n/a,0,n/a,0,n/a,1,PS,4,PS,126,80-84,64,80-84,67,75-79,37,50-59,39,60-69,0,n/a,0,n/a,0,n/a
IOWA,19,1910110,East Buchanan Comm School District,191011000643,East Buchanan High School,36,60-69,0,n/a,1,PS,0,n/a,0,n/a,1,PS,34,60-69,19,60-79,17,40-59,6,LT50,8,LT50,0,n/a,0,n/a,0,n/a
