Y0459915, Rural: Fringe (41), Regular elementary or secondary, N/A, 51.4, 857, 14.7, 0, 6, 2, 11, 738, 0, 100, 65, 60, 62, 60, 59, 64, 61, 53, 61, 60, 41, 52, 59
K9301903, City: Small (13), Early Childhood, N/A, 1.9, 18, 1.1, 0, 0, 0, 0, 2, 0, 16, 2, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
AA890381, Rural: Distant (42), Regular elementary or secondary, N/A, 2.4, 12, 5, 0, 2, 0, 0, 10, 0, N/A, N/A, 1, N/A, 1, N/A, 1, 1, 2, 1, N/A, 4, N/A, 1
AA890379, Rural: Fringe (41), Regular elementary or secondary, N/A, 1.0, 10, 10, 0, 0, 1, 0, 9, 0, N/A, 1, 1, 1, 3, N/A, N/A, N/A, 4, N/A, N/A, N/A, N/A, N/A
AA001391, Rural: Distant (42), Regular elementary or secondary, N/A, 3.6, 27, 7.5, 0, 0, 1, 0, 23, 3, N/A, 4, 3, N/A, 4, 3, 1, 5, 4, 3, N/A, N/A, N/A, N/A
AA001281, Rural: Fringe (41), Regular elementary or secondary, N/A, 3.0, 25, 8.3, 0, 0, 0, 19, 6, 0, N/A, N/A, 4, 2, 1, 3, 2, N/A, 6, 4, 1, 2, N/A, N/A
AA000905, Town: Remote (33), Regular elementary or secondary, N/A, 28.4, 189, 6.1, 1, 17, 7, 3, 146, 0, 15, 4, 10, 8, 8, 19, 10, 8, 20, 16, 13, 14, 21, 23
AA000678, Town: Remote (33), Regular elementary or secondary, N/A, 3.6, 39, 10.8, 0, 2, 0, 0, 37, 0, N/A, 9, 3, 11, 6, 4, 3, 1, N/A, 2, N/A, N/A, N/A, N/A
AA000406, City: Midsize (12), Regular elementary or secondary, N/A, 2.0, 24, 12, 1, 3, 0, 2, 18, 0, N/A, 1, 2, 2, 3, 2, 1, 5, 4, 3, 1, N/A, N/A, N/A
AA000228, Rural: Fringe (41), Regular elementary or secondary, N/A, 2.0, 17, 8.5, 0, 0, 0, 8, 8, 1, N/A, 1, 2, N/A, N/A, 4, 1, N/A, 4, 5, N/A, N/A, N/A, N/A
A9901924, Rural: Fringe (41), Regular elementary or secondary, N/A, 47.9, 792, 16.5, 4, 11, 21, 11, 745, 0, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 223, 167, 213, 189
A9901918, Town: Remote (33), Regular elementary or secondary, N/A, 28.9, 334, 10, 1, 8, 67, 22, 191, 0, 45, 21, 18, 17, 24, 23, 27, 21, 32, 18, 31, 20, 14, 23
A9901908, Rural: Distant (42), Regular elementary or secondary, N/A, 5.0, 60, 12, 0, 0, 0, 0, 60, 0, N/A, 3, 5, 3, 1, 3, 2, 4, 7, 5, 3, 9, 5, 10
A9901898, Town: Remote (33), Regular elementary or secondary, N/A, 9.1, 71, 7.4, 0, 0, 11, 4, 52, 0, 4, 4, 4, 5, 7, 7, 4, 6, 2, 6, 5, 4, 9, 4
A9901897, Town: Remote (33), Regular elementary or secondary, N/A, 13.5, 119, 6, 0, 2, 1, 1, 77, 0, 38, 13, 12, 7, 7, 8, 7, 7, 5, 4, 4, 4, 2, 1
A9701561, City: Small (13), Early Childhood, N/A, 1.0, 44, 26, 0, 0, 0, 0, 26, 0, 18, 26, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
A9701557, Town: Remote (33), Regular elementary or secondary, N/A, 6.0, 48, 6.3, 0, 0, 2, 1, 33, 2, 10, 4, 4, N/A, 3, 4, N/A, 3, 5, 3, 2, 3, 2, 5
A9701556, Rural: Distant (42), Regular elementary or secondary, N/A, 4.4, 30, 6.8, 0, 0, 0, 0, 30, 0, N/A, N/A, 5, 5, 3, 6, 1, 4, 4, 2, N/A, N/A, N/A, N/A
A9701554, City: Small (13), Regular elementary or secondary, N/A, 8.5, 110, 12.9, 3, 2, 20, 6, 71, 8, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 50, 30, 30, N/A, N/A, N/A, N/A
A9701550, Rural: Fringe (41), Regular elementary or secondary, N/A, 11.8, 159, 11.1, 0, 3, 3, 3, 119, 3, 28, 28, 24, 16, 14, 6, 14, 9, 11, 9, N/A, N/A, N/A, N/A
A9501826, City: Midsize (12), Montessori, N/A, 4.0, 66, 7.2, 0, 1, 0, 0, 28, 0, 37, 5, 5, 5, 3, 5, N/A, 5, 1, N/A, N/A, N/A, N/A, N/A
A9501825, Suburb: Large (21), Regular elementary or secondary, N/A, 20.3, 241, 10.9, 2, 5, 6, 7, 190, 11, 20, 22, 15, 20, 23, 20, 14, 18, 17, 15, 12, 16, 6, 13
A9501824, Rural: Fringe (41), Regular elementary or secondary, N/A, 8.1, 85, 7.8, 0, 0, 2, 1, 60, 0, 22, 8, 6, 6, 7, 6, 5, 5, 5, 2, 2, 4, 4, 3
A9501823, Suburb: Small (23), Montessori, N/A, 3.5, 140, 10.9, 0, 2, 2, 0, 34, 0, 102, 15, 6, 7, 3, 6, 1, N/A, N/A, N/A, N/A, N/A, N/A, N/A
A9501819, City: Small (13), Montessori, N/A, 1.6, 183, 5, 0, 1, 0, 1, 4, 2, 175, 5, 3, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
A9501810, City: Small (13), Montessori, N/A, 5.6, 43, 3.4, 0, 1, 2, 1, 15, 0, 24, 3, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
A9501805, Suburb: Large (21), Regular elementary or secondary, N/A, 19.4, 284, 9.7, 0, 7, 11, 8, 162, 0, 96, 38, 19, 16, 16, 18, 9, 8, 13, 6, 13, 9, 15, 8
A9300392, Rural: Fringe (41), Regular elementary or secondary, N/A, 1.0, 3, 3, 0, 0, 0, 0, 3, 0, N/A, N/A, 1, 2, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A
A9300391, Rural: Distant (42), Regular elementary or secondary, N/A, 7.4, 83, 8.8, 0, 2, 5, 1, 57, 0, 18, 6, 11, 6, 7, 7, 7, 5, 7, 4, 1, 2, N/A, 2
A9300389, City: Small (13), Regular elementary or secondary, N/A, 5.0, 68, 7.2, 0, 4, 1, 2, 29, 0, 32, 10, 7, 6, 3, 5, 5, N/A, N/A, N/A, N/A, N/A, N/A, N/A
