A0109386, GREENHILL SCHOOL, Private, (972) 628-5400, PK, 12, 75001
X1328481, TRINITY CHRISTIAN ACADEMY, Private, (972) 931-8325, KG, 12, 75001
480789000117, ALLEN H S, Public, (972) 727-0400, 9, 12, 75002
480789000119, ALTON BOYD EL, Public, (972) 727-0560, PK, 6, 75002
480789006351, ALVIS C STORY EL, Public, (972) 727-0570, PK, 6, 75002
480789012461, BEVERLY CHEATHAM EL, Public, (972) 396-3016, PK, 6, 75002
480789008725, BOLIN EL, Public, (214) 495-6750, PK, 6, 75002
480789010490, CARLENA CHANDLER EL, Public, (972) 747-3354, PK, 6, 75002
482838003168, CARRIE L LOVEJOY EL, Public, (469) 742-8100, PK, 5, 75002
480789000120, D L ROUNTREE EL, Public, (972) 727-0550, PK, 6, 75002
480789012329, DAVID AND LYNDA OLSON EL, Public, (972) 562-1800, PK, 6, 75002
480789005843, GENE M REED EL, Public, (972) 727-0580, KG, 6, 75002
480789007553, GEORGE J ANDERSON EL, Public, (972) 396-6924, PK, 6, 75002
480789009490, JAMES AND MARGIE MARION EL, Public, (214) 495-6784, PK, 6, 75002
482838008740, JOE V HART EL, Public, (469) 742-8200, PK, 5, 75002
482838010527, LOVEJOY DAEP, Public, (469) 742-8000, KG, 12, 75002
482838010525, LOVEJOY H S, Public, (469) 742-8700, 9, 12, 75002
480789008146, LOWERY FRESHMAN CENTER, Public, (972) 396-6975, 8, 11, 75002
480789006641, MAX O VAUGHAN EL, Public, (972) 727-0470, PK, 6, 75002
480789008481, PAT DILLARD SPECIAL ACHIEVEMENT CENTER, Public, (972) 396-6953, KG, 12, 75002
480789005842, W E PETE FORD MIDDLE, Public, (972) 727-0590, 7, 9, 75002
480789006072, WALTER & LOIS CURTIS MIDDLE, Public, (972) 727-0340, 7, 8, 75002
A0771717, ALLEN MONTESSORI ACADEMY, Private, (972) 727-8833, PK, KG, 75002
A0771766, GEM EXPRESS PRESCHOOL & KINDERGARTEN, Private, (972) 727-0071, PK, KG, 75002
A0503436, LUCAS CHRISTIAN ACADEMY, Private, (972) 429-4362, KG, 12, 75002
A0303125, SOUTHWEST ACADEMY, Private, (972) 359-6646, PK, 9, 75002
481305000800, BLANTON EL, Public, (972) 968-1100, PK, 5, 75006
481305000793, CARROLLTON EL, Public, (972) 968-1200, PK, 5, 75006
